vref,Protasis,Protasis IDs,Protasis Glosses,Protasis Greek,Apodosis,Apodosis IDs,Apodosis Glosses,Apodosis Greek,result,Duplicates,Possible_Tokens
MAT 4:3,if you are the Son of God,"('n40004003007', 'n40004003008', 'n40004003009', 'n40004003010', 'n40004003011')","('If', 'Son', 'You are', '-', 'of God')","('Εἰ', 'υἱὸς', 'εἶ', 'τοῦ', 'θεοῦ')",command these stones to become bread,"('n40004003012', 'n40004003013', 'n40004003014', 'n40004003015', 'n40004003016', 'n40004003017', 'n40004003018')","('speak', 'that', 'the', 'stones', 'these', 'loaves of bread', 'might become')","('εἰπὲ', 'ἵνα', 'οἱ', 'λίθοι', 'οὗτοι', 'ἄρτοι', 'γένωνται')",pass,,"[('n40004003001', 'And', 'καὶ'), ('n40004003002', 'having come', 'προσελθὼν'), ('n40004003003', 'the', 'ὁ'), ('n40004003004', '[one] tempting', 'πειράζων'), ('n40004003005', 'he said', 'εἶπεν'), ('n40004003006', 'to Him', 'αὐτῷ'), ('n40004003007', 'If', 'Εἰ'), ('n40004003008', 'Son', 'υἱὸς'), ('n40004003009', 'You are', 'εἶ'), ('n40004003010', '-', 'τοῦ'), ('n40004003011', 'of God', 'θεοῦ'), ('n40004003012', 'speak', 'εἰπὲ'), ('n40004003013', 'that', 'ἵνα'), ('n40004003014', 'the', 'οἱ'), ('n40004003015', 'stones', 'λίθοι'), ('n40004003016', 'these', 'οὗτοι'), ('n40004003017', 'loaves of bread', 'ἄρτοι'), ('n40004003018', 'might become', 'γένωνται')]"
MAT 4:6,if you are the Son of God,"('n40004006004', 'n40004006005', 'n40004006006', 'n40004006007', 'n40004006008')","('If', 'Son', 'You are', '-', 'of God')","('Εἰ', 'υἱὸς', 'εἶ', 'τοῦ', 'θεοῦ')",throw yourself down,"('n40004006009', 'n40004006010', 'n40004006011')","('throw', 'Yourself', 'down')","('βάλε', 'σεαυτὸν', 'κάτω')",pass,,"[('n40004006001', 'and', 'καὶ'), ('n40004006002', 'says', 'λέγει'), ('n40004006003', 'to him', 'αὐτῷ'), ('n40004006004', 'If', 'Εἰ'), ('n40004006005', 'Son', 'υἱὸς'), ('n40004006006', 'You are', 'εἶ'), ('n40004006007', '-', 'τοῦ'), ('n40004006008', 'of God', 'θεοῦ'), ('n40004006009', 'throw', 'βάλε'), ('n40004006010', 'Yourself', 'σεαυτὸν'), ('n40004006011', 'down', 'κάτω'), ('n40004006012', 'it has been written', 'γέγραπται'), ('n40004006013', 'for', 'γὰρ'), ('n40004006014', '-', 'ὅτι'), ('n40004006015', 'To the', 'Τοῖς'), ('n40004006016', 'angels', 'ἀγγέλοις'), ('n40004006017', 'of Him', 'αὐτοῦ'), ('n40004006018', 'He will give orders', 'ἐντελεῖται'), ('n40004006019', 'concerning', 'περὶ'), ('n40004006020', 'You', 'σοῦ'), ('n40004006021', 'and', 'καὶ'), ('n40004006022', 'in', 'ἐπὶ'), ('n40004006023', '[their] hands', 'χειρῶν'), ('n40004006024', 'will they bear up', 'ἀροῦσίν'), ('n40004006025', 'You', 'σε'), ('n40004006026', nan, 'μήποτε'), ('n40004006027', 'You strike', 'προσκόψῃς'), ('n40004006028', 'against', 'πρὸς'), ('n40004006029', 'a stone', 'λίθον'), ('n40004006030', 'the', 'τὸν'), ('n40004006031', 'foot', 'πόδα'), ('n40004006032', 'of You', 'σου')]"
MAT 4:9,if you will fall down and worship me,"('n40004009008', 'n40004009009', 'n40004009010', 'n40004009011')","('if', 'falling down', 'You will worship', 'me')","('ἐὰν', 'πεσὼν', 'προσκυνήσῃς', 'μοι')",All these I will give you,"('n40004009004', 'n40004009005', 'n40004009006', 'n40004009007')","('These things', 'to You', 'all', 'will I give')","('Ταῦτά', 'σοι', 'πάντα', 'δώσω')",pass,,"[('n40004009001', 'and', 'καὶ'), ('n40004009002', 'he says', 'εἶπεν'), ('n40004009003', 'to Him', 'αὐτῷ'), ('n40004009004', 'These things', 'Ταῦτά'), ('n40004009005', 'to You', 'σοι'), ('n40004009006', 'all', 'πάντα'), ('n40004009007', 'will I give', 'δώσω'), ('n40004009008', 'if', 'ἐὰν'), ('n40004009009', 'falling down', 'πεσὼν'), ('n40004009010', 'You will worship', 'προσκυνήσῃς'), ('n40004009011', 'me', 'μοι')]"
MAT 5:13,if salt has lost its taste,"('n40005013007', 'n40005013010', 'n40005013011')","('if', 'the', 'becomes tasteless')","('ἐὰν', 'τὸ', 'μωρανθῇ')",how shall its saltiness be restored?,"('n40005013019', 'n40005013020', 'n40005013021', 'n40005013022', 'n40005013023')","('if', 'not', 'having been cast', 'out', 'to be trampled upon')","('εἰ', 'μὴ', 'βληθὲν', 'ἔξω', 'καταπατεῖσθαι')",fail,Protasis IDs duplicated,"[('n40005013001', 'You', 'Ὑμεῖς'), ('n40005013002', 'are', 'ἐστε'), ('n40005013003', 'the', 'τὸ'), ('n40005013004', 'salt', 'ἅλας'), ('n40005013005', 'of the', 'τῆς'), ('n40005013006', 'earth', 'γῆς'), ('n40005013007', 'if', 'ἐὰν'), ('n40005013008', 'however', 'δὲ'), ('n40005013009', 'the', 'τὸ'), ('n40005013010', 'salt', 'ἅλας'), ('n40005013011', 'becomes tasteless', 'μωρανθῇ'), ('n40005013012', 'with', 'ἐν'), ('n40005013013', 'what', 'τίνι'), ('n40005013014', 'will it be salted', 'ἁλισθήσεται'), ('n40005013015', 'For', 'εἰς'), ('n40005013016', 'nothing', 'οὐδὲν'), ('n40005013017', 'it is potent', 'ἰσχύει'), ('n40005013018', 'any longer', 'ἔτι'), ('n40005013019', 'if', 'εἰ'), ('n40005013020', 'not', 'μὴ'), ('n40005013021', 'having been cast', 'βληθὲν'), ('n40005013022', 'out', 'ἔξω'), ('n40005013023', 'to be trampled upon', 'καταπατεῖσθαι'), ('n40005013024', 'by', 'ὑπὸ'), ('n40005013025', '-', 'τῶν'), ('n40005013026', 'men', 'ἀνθρώπων')]"
MAT 5:13,except to be thrown out and trampled under people's feet,"('n40005013007', 'n40005013010', 'n40005013011')","('if', 'the', 'becomes tasteless')","('ἐὰν', 'τὸ', 'μωρανθῇ')",it is no longer good for anything,"('n40005013019', 'n40005013020', 'n40005013021', 'n40005013022', 'n40005013023')","('if', 'not', 'having been cast', 'out', 'to be trampled upon')","('εἰ', 'μὴ', 'βληθὲν', 'ἔξω', 'καταπατεῖσθαι')",fail,Protasis IDs duplicated,"[('n40005013001', 'You', 'Ὑμεῖς'), ('n40005013002', 'are', 'ἐστε'), ('n40005013003', 'the', 'τὸ'), ('n40005013004', 'salt', 'ἅλας'), ('n40005013005', 'of the', 'τῆς'), ('n40005013006', 'earth', 'γῆς'), ('n40005013007', 'if', 'ἐὰν'), ('n40005013008', 'however', 'δὲ'), ('n40005013009', 'the', 'τὸ'), ('n40005013010', 'salt', 'ἅλας'), ('n40005013011', 'becomes tasteless', 'μωρανθῇ'), ('n40005013012', 'with', 'ἐν'), ('n40005013013', 'what', 'τίνι'), ('n40005013014', 'will it be salted', 'ἁλισθήσεται'), ('n40005013015', 'For', 'εἰς'), ('n40005013016', 'nothing', 'οὐδὲν'), ('n40005013017', 'it is potent', 'ἰσχύει'), ('n40005013018', 'any longer', 'ἔτι'), ('n40005013019', 'if', 'εἰ'), ('n40005013020', 'not', 'μὴ'), ('n40005013021', 'having been cast', 'βληθὲν'), ('n40005013022', 'out', 'ἔξω'), ('n40005013023', 'to be trampled upon', 'καταπατεῖσθαι'), ('n40005013024', 'by', 'ὑπὸ'), ('n40005013025', '-', 'τῶν'), ('n40005013026', 'men', 'ἀνθρώπων')]"
MAT 5:20,unless your righteousness exceeds that of the scribes and Pharisees,"('n40005020004', 'n40005020005', 'n40005020006', 'n40005020007', 'n40005020008', 'n40005020009', 'n40005020010', 'n40005020011', 'n40005020012', 'n40005020013', 'n40005020014', 'n40005020015')","('that', 'if', 'not', 'shall abound', 'your', '-', 'righteousness', 'above [that]', 'of the', 'scribes', 'and', 'Pharisees')","('ὅτι', 'ἐὰν', 'μὴ', 'περισσεύσῃ', 'ὑμῶν', 'ἡ', 'δικαιοσύνη', 'πλεῖον', 'τῶν', 'γραμματέων', 'καὶ', 'Φαρισαίων')",you will never enter the kingdom of heaven,"('n40005020016', 'n40005020017', 'n40005020018', 'n40005020019', 'n40005020020', 'n40005020021', 'n40005020022', 'n40005020023')","('no', 'not', 'shall you enter', 'into', 'the', 'kingdom', 'of the', 'heavens')","('οὐ', 'μὴ', 'εἰσέλθητε', 'εἰς', 'τὴν', 'βασιλείαν', 'τῶν', 'οὐρανῶν')",pass,,"[('n40005020001', 'I say', 'λέγω'), ('n40005020002', 'for', 'γὰρ'), ('n40005020003', 'to you', 'ὑμῖν'), ('n40005020004', 'that', 'ὅτι'), ('n40005020005', 'if', 'ἐὰν'), ('n40005020006', 'not', 'μὴ'), ('n40005020007', 'shall abound', 'περισσεύσῃ'), ('n40005020008', 'your', 'ὑμῶν'), ('n40005020009', '-', 'ἡ'), ('n40005020010', 'righteousness', 'δικαιοσύνη'), ('n40005020011', 'above [that]', 'πλεῖον'), ('n40005020012', 'of the', 'τῶν'), ('n40005020013', 'scribes', 'γραμματέων'), ('n40005020014', 'and', 'καὶ'), ('n40005020015', 'Pharisees', 'Φαρισαίων'), ('n40005020016', 'no', 'οὐ'), ('n40005020017', 'not', 'μὴ'), ('n40005020018', 'shall you enter', 'εἰσέλθητε'), ('n40005020019', 'into', 'εἰς'), ('n40005020020', 'the', 'τὴν'), ('n40005020021', 'kingdom', 'βασιλείαν'), ('n40005020022', 'of the', 'τῶν'), ('n40005020023', 'heavens', 'οὐρανῶν')]"
MAT 5:23,"if you are offering your gift at the altar and there remember that your brother has something against you,","('n40005023001', 'n40005023003', 'n40005023004', 'n40005023005', 'n40005023006', 'n40005023007', 'n40005023008', 'n40005023009', 'n40005023010', 'n40005023011', 'n40005023012', 'n40005023013', 'n40005023014', 'n40005023015', 'n40005023016', 'n40005023017', 'n40005023018', 'n40005023019')","('If', 'you shall offer', 'the', 'gift', 'of you', 'at', 'the', 'altar', 'and there', 'shall remember', 'that', 'the', 'brother', 'of you', 'has', 'something', 'against', 'you')","('ἐὰν', 'προσφέρῃς', 'τὸ', 'δῶρόν', 'σου', 'ἐπὶ', 'τὸ', 'θυσιαστήριον', 'κἀκεῖ', 'μνησθῇς', 'ὅτι', 'ὁ', 'ἀδελφός', 'σου', 'ἔχει', 'τι', 'κατὰ', 'σοῦ')",v.24 leave your gift there before the alter and go,"('n40005023002', 'n40005023023', 'n40005023024', 'n40005023025', 'n40005023026', 'n40005023027', 'n40005023028', 'n40005023029', 'n40005023030', 'n40005023031')","('therefore', 'leave', 'your', 'gift', 'there', 'before', 'the', 'altar', 'and', 'go')","('οὖν', 'ἄφες', 'τὸ', 'δῶρον', 'ἐκεῖ', 'ἔμπροσθεν', 'τοῦ', 'θυσιαστηρίου', 'καὶ', 'ὕπαγε')",pass,,"[('n40005023001', 'If', 'ἐὰν'), ('n40005023002', 'therefore', 'οὖν'), ('n40005023003', 'you shall offer', 'προσφέρῃς'), ('n40005023004', 'the', 'τὸ'), ('n40005023005', 'gift', 'δῶρόν'), ('n40005023006', 'of you', 'σου'), ('n40005023007', 'at', 'ἐπὶ'), ('n40005023008', 'the', 'τὸ'), ('n40005023009', 'altar', 'θυσιαστήριον'), ('n40005023010', 'and there', 'κἀκεῖ'), ('n40005023011', 'shall remember', 'μνησθῇς'), ('n40005023012', 'that', 'ὅτι'), ('n40005023013', 'the', 'ὁ'), ('n40005023014', 'brother', 'ἀδελφός'), ('n40005023015', 'of you', 'σου'), ('n40005023016', 'has', 'ἔχει'), ('n40005023017', 'something', 'τι'), ('n40005023018', 'against', 'κατὰ'), ('n40005023019', 'you', 'σοῦ')]"
MAT 5:29,if your right eye causes you to sin,"('n40005029001', 'n40005029004', 'n40005029005', 'n40005029007', 'n40005029008', 'n40005029009')","('If', 'eye', 'of you', 'right', 'causes to stumble', 'you')","('εἰ', 'ὀφθαλμός', 'σου', 'δεξιὸς', 'σκανδαλίζει', 'σε')",tear it out and throw it away,"('n40005029010', 'n40005029011', 'n40005029013', 'n40005029014', 'n40005029015')","('pluck out', 'it', 'cast [it]', 'from', 'you')","('ἔξελε', 'αὐτὸν', 'βάλε', 'ἀπὸ', 'σοῦ')",fail,,"[('n40005029001', 'If', 'εἰ'), ('n40005029002', 'now', 'δὲ'), ('n40005029003', 'the', 'ὁ'), ('n40005029004', 'eye', 'ὀφθαλμός'), ('n40005029005', 'of you', 'σου'), ('n40005029006', '-', 'ὁ'), ('n40005029007', 'right', 'δεξιὸς'), ('n40005029008', 'causes to stumble', 'σκανδαλίζει'), ('n40005029009', 'you', 'σε'), ('n40005029010', 'pluck out', 'ἔξελε'), ('n40005029011', 'it', 'αὐτὸν'), ('n40005029012', 'and', 'καὶ'), ('n40005029013', 'cast [it]', 'βάλε'), ('n40005029014', 'from', 'ἀπὸ'), ('n40005029015', 'you', 'σοῦ'), ('n40005029016', 'it is better', 'συμφέρει'), ('n40005029017', 'indeed', 'γάρ'), ('n40005029018', 'for you', 'σοι'), ('n40005029019', 'that', 'ἵνα'), ('n40005029020', 'should perish', 'ἀπόληται'), ('n40005029021', 'one', 'ἓν'), ('n40005029022', 'of the', 'τῶν'), ('n40005029023', 'members', 'μελῶν'), ('n40005029024', 'of you', 'σου'), ('n40005029025', 'and', 'καὶ'), ('n40005029026', 'not', 'μὴ'), ('n40005029027', 'all', 'ὅλον'), ('n40005029028', 'the', 'τὸ'), ('n40005029029', 'body', 'σῶμά'), ('n40005029030', 'of you', 'σου'), ('n40005029031', 'should be cast', 'βληθῇ'), ('n40005029032', 'into', 'εἰς'), ('n40005029033', 'hell', 'γέενναν')]"
MAT 5:30,if your right hand causes you to sin,"('n40005030002', 'n40005030003', 'n40005030004', 'n40005030005', 'n40005030006', 'n40005030007', 'n40005030008')","('if', 'the', 'right', 'of you', 'hand', 'causes to stumble', 'you')","('εἰ', 'ἡ', 'δεξιά', 'σου', 'χεὶρ', 'σκανδαλίζει', 'σε')",cut it off and throw it away,"('n40005030009', 'n40005030010', 'n40005030011', 'n40005030012', 'n40005030013', 'n40005030014')","('cut off', 'it', 'and', 'cast [it]', 'from', 'you')","('ἔκκοψον', 'αὐτὴν', 'καὶ', 'βάλε', 'ἀπὸ', 'σοῦ')",pass,,"[('n40005030001', 'And', 'καὶ'), ('n40005030002', 'if', 'εἰ'), ('n40005030003', 'the', 'ἡ'), ('n40005030004', 'right', 'δεξιά'), ('n40005030005', 'of you', 'σου'), ('n40005030006', 'hand', 'χεὶρ'), ('n40005030007', 'causes to stumble', 'σκανδαλίζει'), ('n40005030008', 'you', 'σε'), ('n40005030009', 'cut off', 'ἔκκοψον'), ('n40005030010', 'it', 'αὐτὴν'), ('n40005030011', 'and', 'καὶ'), ('n40005030012', 'cast [it]', 'βάλε'), ('n40005030013', 'from', 'ἀπὸ'), ('n40005030014', 'you', 'σοῦ'), ('n40005030015', 'it is better', 'συμφέρει'), ('n40005030016', 'indeed', 'γάρ'), ('n40005030017', 'for you', 'σοι'), ('n40005030018', 'that', 'ἵνα'), ('n40005030019', 'should perish', 'ἀπόληται'), ('n40005030020', 'one', 'ἓν'), ('n40005030021', 'of the', 'τῶν'), ('n40005030022', 'members', 'μελῶν'), ('n40005030023', 'of you', 'σου'), ('n40005030024', 'and', 'καὶ'), ('n40005030025', 'not', 'μὴ'), ('n40005030026', 'all', 'ὅλον'), ('n40005030027', 'the', 'τὸ'), ('n40005030028', 'body', 'σῶμά'), ('n40005030029', 'of you', 'σου'), ('n40005030030', 'into', 'εἰς'), ('n40005030031', 'hell', 'γέενναν'), ('n40005030032', 'should depart', 'ἀπέλθῃ')]"
MAT 5:46,if you love those who love you,"('n40005046001', 'n40005046003', 'n40005046004', 'n40005046005', 'n40005046006')","('If', 'you love', 'those', 'loving', 'you')","('ἐὰν', 'ἀγαπήσητε', 'τοὺς', 'ἀγαπῶντας', 'ὑμᾶς')",what reward do you have?,"('n40005046007', 'n40005046008', 'n40005046009')","('what', 'reward', 'have you')","('τίνα', 'μισθὸν', 'ἔχετε')",pass,,"[('n40005046001', 'If', 'ἐὰν'), ('n40005046002', 'for', 'γὰρ'), ('n40005046003', 'you love', 'ἀγαπήσητε'), ('n40005046004', 'those', 'τοὺς'), ('n40005046005', 'loving', 'ἀγαπῶντας'), ('n40005046006', 'you', 'ὑμᾶς'), ('n40005046007', 'what', 'τίνα'), ('n40005046008', 'reward', 'μισθὸν'), ('n40005046009', 'have you', 'ἔχετε'), ('n40005046010', 'Do not', 'οὐχὶ'), ('n40005046011', 'also', 'καὶ'), ('n40005046012', 'the', 'οἱ'), ('n40005046013', 'tax collectors', 'τελῶναι'), ('n40005046014', 'the', 'τὸ'), ('n40005046015', 'same', 'αὐτὸ'), ('n40005046016', 'do', 'ποιοῦσιν')]"
