Token,Average Similarity
ὁ,0.06901172446863214
καί,0.07765366242566393
δέ,0.018638487591312557
εἰμί,-0.04105228398941101
αὐτός,0.09807291029820571
οὗτος,0.03068712995548454
ἐν,-0.03762960027509852
γάρ,-0.017042497001058282
μέν,-0.04329255552259909
οὐ,-0.061712447423758816
λέγω,-0.03443164886100514
κατά,-0.03381991517612533
ὅς,-0.001498388651943357
ὡς,-0.005947536603839507
εἰς,0.01803647856780448
ἐπί,-0.028225929240607267
διά,-0.01043945824849648
πᾶς,0.045345733164292835
πρός,-0.0032895357625521136
τε,0.06797805599503769
τῷ,-0.011336676434950479
ἐκ,-0.02451699889978863
γίγνομαι,0.0406639393505224
μή,-0.021091333000116907
ἔχω,-0.007868001675649175
ἀλλά,0.0006426470430138311
ὅτι,-0.05832572566236604
εἰ,-0.07221069522092503
περί,-0.03204736660421496
τις,-0.00881296619151679
ἀπό,-0.014655090319694978
ἄλλος,0.04736031594432236
φημί,-0.05657030511897211
πολύς,0.05064503015354247
οὖν,-0.018306132026031777
ἤ,-0.004957251199265246
λόγος,0.03929351367909308
παρά,-0.02051474761705425
ποιέω,0.0027915854210446046
ἄν,-0.057098139977777206
οὕτως,0.00022896829518620704
ὑπό,0.003476922715360071
τίη,0.0074081114664214945
μετά,-0.006394960169317136
γε,-0.022193340568397
ἑαυτοῦ,0.08422138955446272
ἐάν,-0.031054855669703983
ἐκεῖνος,0.04563457246260109
οὐδέ,-0.06740506485733683
ἐγώ,0.009486261362655667
ἄνθρωπος,0.03309228833132524
μέγας,0.020127776866604535
ἐπεί,-0.04312776280992103
μόνος,-0.02474243316245417
δέω,-0.027911136913698096
πρῶτος,0.009451330744043194
ἕτερος,0.02142819631222268
δή,-0.020578875894203496
τι,-0.05313744963908164
τοιοῦτος,0.020186483235875456
σῶμα,0.048734624977800726
θεός,0.05716113385451154
λαμβάνω,0.005229924919887069
δραχμή,0.052489129802249034
φύσις,0.04690981258197867
πόλις,0.06394277780991345
ὑπέρ,-0.04171768938210488
μέρος,0.02204192437383973
ὑπάρχω,-0.020196739552270138
δύναμις,0.049531999098894115
ἀρχή,0.013264251844982942
ἕκαστος,0.013222998830226243
ὁράω,0.013314995520515994
ἔτος,0.02317361183609092
νῦν,-0.044002035898654354
ὅσος,0.026069588851629053
οὔτε,-0.037053802230918344
ὥσπερ,-0.014932080132925346
ὅμοιος,0.03769437224928541
χρόνος,0.026261176061362704
οἷος,0.01848983934551604
ὅλος,0.025169287533469087
δοκέω,-0.0142513786707459
δίδωμι,0.0057021148269310006
κύριος,-0.016043393157389292
ἀνήρ,0.05448482559411341
γῆ,0.042406092831351674
κινέω,0.04253009564990779
ψυχή,0.03327764937747176
δείκνυμι,-0.0013512655763420682
ἔτι,-0.005185776779925183
μᾶλλον,0.017414348146383037
καλέω,0.04274955419132451
πάλιν,0.022519885043014467
ἅπας,0.020814999148640698
βασιλεύς,0.06719791115249922
ἄρα,-0.01343739221254836
ὄνομα,0.0024902936820022314
γράφω,-0.012881688557627656
τόπος,0.03854231557885565
ἵνα,0.00822724396345735
ὅδε,-0.015264411092440998
πατήρ,0.03891747461271401
ἡμέρα,0.017419113446147085
εἶδος,0.03936277039298692
ἀγαθός,0.029500782969676898
καλός,0.020259800440890662
οἶδα,-0.06082048395991772
ἴσος,0.015641030546845066
ὅταν,-0.01023171628169482
ὥστε,-0.00873943139452941
υἱός,0.031639476151979484
γένος,0.03743584539684453
δύναμαι,-0.014116530742488633
ἤδη,-0.011958826189230361
ἀνάγκη,0.008964443851484667
κίνησις,0.0542147100077885
οὐσία,-0.009362974185087207
πῶς,-0.04548481749790383
φαίνω,0.010872678902575237
τρόπος,0.02057063450169436
ἀλλήλων,0.05774219169129005
οὗ,-0.023094925232030532
πρότερος,-0.0005856012372892301
συμβαίνω,-0.011840722701325235
ἐναντίος,0.020492386610087975
ἴδιος,0.015157614289618218
φέρω,0.04731546101354643
οὐδείς,-0.03292387623932981
λοιπός,0.07104531951100723
ἀεί,0.0133602377074402
πρᾶγμα,0.007020551923840328
κακός,0.0445068350836081
γυνή,0.06518862070372705
μήτηρ,0.045955435717666616
ὕδωρ,0.0313787907732045
ποτε,-0.03410967034901757
ἅμα,0.051482729929535
ἀληθής,-0.0014743238668021477
ἀκούω,-0.005510672360307699
γιγνώσκω,-0.025635691708467304
χείρ,0.07500342264976749
μάλιστα,0.02618414634464631
ἔρχομαι,0.051292089787520874
ἀρτάβη,0.02803877581139548
μήν,-0.03145371816184041
πρό,-0.03187657792164334
τότε,0.0007295747163047687
ἔργον,0.03619390936425639
χρή,-0.027304218996633205
δεύτερος,0.027120294180670572
σύν,0.04207393943609282
μέσος,0.04462483655267272
κοινός,0.009270267640138824
χράω,0.02976358041901863
αἰτία,0.011886241108274234
βούλομαι,-0.04723897651848057
πάσχω,-0.0033025177435695
νόμος,0.05406428080514237
εὑρίσκω,-0.010096096911183678
τυγχάνω,0.0012747334451661619
μικρός,0.04182832273332857
ἀριθμός,0.013830478876473151
δῆλος,-0.012393429826372083
εὐθύς,0.040612283090267605
χαίρω,0.05467751591944691
ὦ,-0.03139586269241682
πάρειμι,0.021862732386412117
μέλλω,0.01136229088939
ἄρχω,0.015091438903990914
ὅπως,-0.01148728049674532
ὕλη,0.02819706055018341
δίκαιος,0.007932091795532812
ζῷον,0.010806469896475216
νόμισμα,0.055428603569662484
καθά,-0.002351801877721997
τίς,-0.03853329020091099
τοίνυν,-0.017850257603910936
καθόλου,-0.01826791442838134
τίθημι,0.016915876697767875
ὀλίγος,0.045528998299565096
ἁπλόος,-0.010504232366879022
τρίτος,0.03390122262268025
μηδέ,-0.0014956243463377392
πνεῦμα,0.048728417735578795
ἐθέλω,-0.012151681704562906
δηλόω,-0.020693016692779235
πράσσω,-0.006184704108288625
πῦρ,0.0520594051195687
ἐνέργεια,0.026007426713782505
ὁμολογέω,-0.004103709857286399
ἄγω,0.06428725355531302
ζητέω,-0.030663021473250902
παῖς,0.06496153853484239
τέλος,0.04446113559175385
ἐνταῦθα,-0.022354382053249848
οἰκεῖος,0.062157232306009905
ἀμφότερος,0.04971964162330815
