id	filename	tokens	lemmas
480763	stoa0121.stoa001.opp-grc1	Τῆς Ῥωμαϊκῆς βασιλείας ἐν προοιμίοις οὐδὲν ἐγένετο μεῖόν τε καὶ ταπεινότερον:	ὁ Ῥωμαϊκός βασίλεια ἐν προοίμιον οὐδείς γίγνομαι  τε καί ταπεινός :
480764	stoa0121.stoa001.opp-grc1	τῇ δὲ κατὰ μικρὸν αὐξήσει καὶ ταῖς ἀεὶ προσθήκαις κατὰ τὴν οἰκουμένην ἅπασαν οὐδὲν οὔτε μεῖζον οὔτε δυνατώτερον ἡ μνήμη τῶν ἀνθρώπων φέρει:	ὁ δέ κατά μικρός αὐξάνω καί ὁ ἀεί  κατά ὁ οἰκέω ἅπας  οὔτε μέγας οὔτε δυνατός ὁ μνήμη ὁ ἄνθρωπος φέρω :
480765	stoa0121.stoa001.opp-grc1	ταύτης τὴν πρώτην κρηπῖδα κατεβάλετο Ῥωμύλος:	οὗτος ὁ πρῶτος κρηπίς καταβάλλω Ῥωμύλος :
480766	stoa0121.stoa001.opp-grc1	ὃς ἐκ Ῥέας Σιλβίας, οὕτω καλουμένης Ἑστιακῆς παρθένου, τῷ Ἄρει συνελθούσης, ὡς ὁ πολὺς κατεῖχε λόγος, ἐκ διδύμου γονῆς σὺν ἀδελφῷ Ῥέμῳ προῆλθεν εἰς φῶς:	ὅς ἐκ   , οὕτως καλέω   , τῷ Ἄρης  , ὡς ὁ πολύς κατέχω λόγος , ἐκ  γονή σύν ἀδελφός  προέρχομαι εἰς φάος :
480767	stoa0121.stoa001.opp-grc1	οὗτος ὀκτωκαίδεκα γεγονὼς ἔτη βίον τε ἔχων τοῖς ποιμέσι συλλῃστεύειν ἐλάχιστόν τι πολίχνιον ἐπὶ τοῦ ὅρους τοῦ Παλλαντίου κατεστήσατο πρώτῃ τοῦ Μαΐου μηνὸς ἔτει τρίτῳ τῆς ἕκτηςʽ?? ʼλυμπιάδος:	οὗτος  γίγνομαι ἔτος βίος τε ἔχω ὁ ποιμήν   τι  ἐπί ὁ ὅρος ὁ Παλλάντιος καθίστημι  ὁ  μείς ἔτος τρίτος ὁ ἕκτη ʽ ? ?  :
480768	stoa0121.stoa001.opp-grc1	τῆς δὲ Ἰλίου καταστροφῆς κατὰ τοὺς τὸ πλεῖστόν τε καὶ ἐλάχιστον παραδεδωκότας ἔτει τετάρτῳ καὶ ἐννενηκοστῷ καὶ τριακοσιοστῷ.	ὁ δέ Ἴλιος καταστροφή κατά ὁ ὁ  τε καί ἐλάχιστος παραδίδωμι ἔτος τέταρτος καί  καί  .
480769	stoa0121.stoa001.opp-grc1	Οἰκίσας δὲ τὴν πόλιν καὶ καλέσας αὐτὴν ἐξ ἑαυτοῦ Ῥώμην, πρῶτον μὲν πολὺ πλῆθος ἐκ τῶν περιοίκων εἰσεδέξατο, ἔπειτα δὲ τοὺς προβεβηκότας εἰς ἡλικίαν ἐκλεξάμενος τούτους ἐπέστησε τοῖς λοιποῖς ἡγεμόνας τῶν πρακτέων, σενάτωρας αὐτοὺς καλέσας κατὰ τὴν Ἰταλῶν φωνήν:	δέ ὁ πόλις καί καλέω αὐτός ἐκ ἑαυτοῦ Ῥώμη , πρῶτος μέν πολύς πλῆθος ἐκ ὁ  εἰσδέχομαι , ἔπειτα δέ ὁ προβαίνω εἰς ἡλικία ἐκλέγω οὗτος ἐφίστημι ὁ  ἡγεμονεύς ὁ πράκτης ,  αὐτός καλέω κατά ὁ  φωνή :
480770	stoa0121.stoa001.opp-grc1	ἐπειδὴ σένης ἐκεῖνοι καλοῦσι τοὺς γέροντας:	ἐπεί  ἐκεῖνος καλέω ὁ γέρων :
480771	stoa0121.stoa001.opp-grc1	σύγκλητον δὲ Ἕλληνες ἐκάλεσαν τὸ συνέδριον, ἐκ τοῦ πρότερον μὲν τοὺς βασιλεύοντας μετὰ δὲ ταῦτα τοὺς ὑπάτους συγκαλεῖν τε αὐτοὺς ἐπὶ τὰς βουλὰς καὶ τῶν ψήφων ποιεῖσθαι κυρίους.	σύγκλητος δέ Ἕλλην καλέω ὁ συνέδριον , ἐκ ὁ πρότερος μέν ὁ  μετά δέ οὗτος ὁ ὕπατος συγκαλέω τε αὐτός ἐπί ὁ βουλή καί ὁ  ποιέω κύριος2 .
480772	stoa0121.stoa001.opp-grc1	ἀλλ̓ ἐπειδὴ τὸ πλῆθος αὐξηθὲν ἤδη συνοίκων ἐστέρητο γυναικῶν καὶ φόβοςʽ?? ʼν ἐπιλιπεῖν τοὺς ἄνδρας, τέχνῃ δέδωκε διαδοχὴν τῷ γένει.	ἐπεί ὁ πλῆθος αὐξάνω ἤδη σύνοικος στερέω γυνή καί φόβος ʽ ? ?  ἐπιλείπω ὁ ἀνήρ , τέχνη δίδωμι διαδοχή ὁ γένος .
480773	stoa0121.stoa001.opp-grc1	παρακαλέσας γὰρ ὡς ἐπί τινα θέαν τὰ γειτινιῶντα τῶν ἐθνῶν ἁρπαγὴν γενέσθαι παρεσκεύασε τῶν παρθένων, ἃς οἱ προκληθέντες ἐπὶ τὴν τέρψιν ἐπηγάγοντο.	παρακαλέω γάρ ὡς ἐπί τις θέα ὁ  ὁ ἔθνος ἁρπαγή γίγνομαι παρασκευάζω ὁ παρθένος , ὅς ὁ προκαλέω ἐπί ὁ τέρψις  .
480774	stoa0121.stoa001.opp-grc1	καὶ τὰς μὲν ἔσχον γαμητὰς ἁρπάσαντες:	καί ὁ μέν ἔχω  ἁρπάζω :
480775	stoa0121.stoa001.opp-grc1	πόλεμον δὲ τὸ ἔργον ἐκίνησεν, οὗ συστάντος ἡττῶνται Καινιναῖοι καὶ Ἀντεμνάται, Κρουστουμῖνοι, Σαβῖνοι, Φιδηνάται, Βέειοι.	πόλεμος δέ ὁ ἔργον κινέω , οὗ συνίστημι ἡσσάομαι  καί  ,  , Σαβῖνος ,  ,  .
480776	stoa0121.stoa001.opp-grc1	συνοικίαι δὲ ἦσαν αὗται, καὶ κατ̓ οἰκείαν ἀρχὴν ἑκάστη:	συνοικία δέ εἰμί οὗτος , καί  οἰκεῖος ἀρχή ἕκαστος :
480777	stoa0121.stoa001.opp-grc1	καὶ μετὰ ταῦτα ἐπολίσθησαν:	καί μετά οὗτος  :
480778	stoa0121.stoa001.opp-grc1	καὶ ταύταις ἔτι καὶ νῦν ἡ Ῥώμη ταῖς πόλεσι περιστεφανοῦται.	καί οὗτος ἔτι καί νῦν ὁ Ῥώμη ὁ πόλις  .
480779	stoa0121.stoa001.opp-grc1	τούτων οὕτω πραχθέντων, χειμὼν ἐξαίφνης ἐπελθὼν ἀφανῆ τὸν Ῥωμύλον ἐποίησεν.	οὗτος οὕτως πράσσω , χειμών ἐξαίφνης ἐπέρχομαι ἀφανής ὁ Ῥωμύλος ποιέω .
480780	stoa0121.stoa001.opp-grc1	ἐξ ἐκείνου δὲ εἰς τόδε πεπίστευται πρὸς θεοὺς ἀνειλῆφθαι.	ἐκ ἐκεῖνος δέ εἰς ὅδε πιστεύω πρός   .
480781	stoa0121.stoa001.opp-grc1	καθιερώθη οὗν παρὰ τῶν ἀρχομένων ἔτη βασιλεύσας αὐτῶν ἑπτὰ καὶ τριάκοντα.	καθιερόω  παρά ὁ ἄρχω ἔτος βασιλεύω αὐτός  καί  .
480782	stoa0121.stoa001.opp-grc1	καὶ τέως μὲν τὴν πόλιν διεῖπον καὶ τὴν βασιλείαν ἐπετρόπευον οἱ καλούμενοι σενάτωρες, ἐπὶ ἐνιαυτὸν ὅλον ἐξ ἀμοιβῆς δἰ ἡμερῶν πέντε τῆς ἐπιτροπείας ἀπ̓ ἄλλων εἰς ἄλλους μεθισταμένης.	καί τέως μέν ὁ πόλις διαγορεύω καί ὁ βασιλεία ἐπιτροπεύω ὁ καλέω  , ἐπί ἐνιαυτός ὅλος ἐκ ἀμοιβή   πέντε ὁ ἐπιτροπεία  ἄλλος εἰς   .
480783	stoa0121.stoa001.opp-grc1	Μετὰ δὲ τὸν ἐνιαυτὸν Νουμᾶς Πομπίλιος ἀνεκλήθη βασιλεύς.	δέ ὁ ἐνιαυτός   ἀνακαλέω βασιλεύς .
480784	stoa0121.stoa001.opp-grc1	οὗτος πολέμου μὲν ἀπέχετο παντός, τῇ Ῥώμῃ δὲ οὐχ ἧττον ἢ Ῥωμύλος ἐγένετο χρήσιμος.	οὗτος πόλεμος μέν   , ὁ Ῥώμη δέ οὐ ἥσσων τίη Ῥωμύλος γίγνομαι χρήσιμος .
480785	stoa0121.stoa001.opp-grc1	νόμους τε γὰρ αὐτοῖς ἔθηκεν ἔθη τε παρέδωκεν, ἀφ̓ ὧν λῃσταί τινες πρότερον ὑπειλημμένοι καὶ μιξοβάρβαροι ἀμεινόνων ἀνδρῶν δόξαν ἐκτήσαντο.	νόμος τε γάρ αὐτός τίθημι  τε παραδίδωμι ,  ὅς λῃστής τις πρότερος  καί   ἀνήρ δόξα κτάομαι .
480786	stoa0121.stoa001.opp-grc1	ἱερὰ δὲ αὐτοῖς ἐτέλεσε ναούς τε κατεσκεύασεν.	ἱερόν δέ αὐτός τελέω ναός τε κατασκευάζω .
480787	stoa0121.stoa001.opp-grc1	οὕτω δὲ διαθεὶς τὴν πόλιν, τεσσαρακοστῷ καὶ τρίτῳ τῆς βασιλείας ἔτει νοσήσας ἐτελεύτησεν.	οὕτως δέ  ὁ πόλις , τεσσαρακοστός καί τρίτος ὁ βασίλεια ἔτος νοσέω τελευτάω .
480788	stoa0121.stoa001.opp-grc1	Τρίτος διαδέχεται τὴν βασιλείαν Τοῦλλος Ὁστίλλιος.	διαδέχομαι ὁ βασιλεία   .
480789	stoa0121.stoa001.opp-grc1	ὑπὸ τούτῳ πάλιν ἡ περὶ τοὺς πολέμους ἐπανῆλθε σπουδή.	ὑπό οὗτος πάλιν ὁ περί ὁ πόλεμος ἐπανέρχομαι σπουδή .
480790	stoa0121.stoa001.opp-grc1	νικῶνται γοῦν Ἀλβανοὶ μάχῃ, τῆς Ῥώμης δυοκαίδεκα διεστῶτες σημείοις ʽμίλια καλοῦσιν αὐτὰ Ῥωμαῖοι:	νικάω γοῦν  μάχη , ὁ Ῥώμη δυοκαίδεκα διΐστημι   καλέω αὐτός  :
480791	stoa0121.stoa001.opp-grc1	τὰ χίλια γὰρ βήματα οὕτως ὀνομάζουσι, τοσούτοις βήμασι συμμετρούμενοι τὸ σημεῖον̓, εἶτ̓ ἐφεξῆς ἡττῶνται Βἕ?? ʼιοι καὶ οἱ ἀπὸ Φιδήνης, οἱ μὲν ἓξ χωριζόμενοι σημείοις;	ὁ χίλιοι γάρ βῆμα οὕτως ὀνομάζω , τοσοῦτος βῆμα  ὁ  ,  ἐφεξῆς ἡσσάομαι  ? ?  καί ἕ ἀπό  , ὁ μέν  χωρίζω  ;
480792	stoa0121.stoa001.opp-grc1	οἱ δὲ ὀκτωκαίδεκα.	ὁ δέ  .
480793	stoa0121.stoa001.opp-grc1	μετὰ ταύτας δὲ τὰς νίκας καὶ τὴν πόλιν ηὔξησε τὸν Κέλλοιν αὐτῇ προσθεὶς λόφον.	μετά οὗτος δέ ὁ νίκη καί ὁ πόλις αὐξάνω ὁ  αὐτός προστίθημι λόφος .
480794	stoa0121.stoa001.opp-grc1	ἐπὶ τούτοις τοῖς ἔργοις τριάκοντα καὶ δύο τὴν ἀρχὴν κατασχὼν ἐνιαυτοὺς κεραυνοῦ πεσόντος συγκατεφλέχθη τῇ βασιλικῇ στέγῃ.	ἐπί οὗτος ὁ ἔργον  καί γε ὁ ἀρχή κατέχω ἐνιαυτός κεραυνός πίπτω  ὁ βασιλικός στέγη .
480795	stoa0121.stoa001.opp-grc1	Τέταρτος παρῆλθεν ἐπὶ τὴν ἀρχὴν Ἄγκος Μάρκιος, ἔκγονος ἀπὸ θυγατρὸς τοῦ Νουμᾶ Πομπιλίου.	παρέρχομαι ἐπί ὁ ἀρχή  Μάρκιος , ἔκγονος ἀπό θυγάτηρ ὁ   .
480796	stoa0121.stoa001.opp-grc1	οὗτος ἤρατο πόλεμον πρὸς Λατίνους καὶ τῇ πόλει συνῆψε τὴν Ἀβάντινον λόφον Ἰανίκουλόν τε:	οὗτος ἐράω πόλεμος πρός  καί ὁ πόλις συνάπτω ὁ  λόφος  τε :
480797	stoa0121.stoa001.opp-grc1	πολίχνην ἐδείματο ἐπὶ θαλάσσης πρὸς ταῖς τοῦ θύμβριδος ἐκβολαῖς, αἳ τῆς Ῥώμης ἓξ καὶ δέκα διεστήκασι σημείοις.	πολίχνη δέμω ἐπί θάλασσα πρός ὁ ὁ Θύμβρις ἐκβολή , ὁ ὁ Ῥώμη  καί    .
480798	stoa0121.stoa001.opp-grc1	τετάρτῳ τε καὶ εἰκοστῷ τῆς βασιλείας ἔτει νόσῳ διεφθάρη.	τέταρτος τε καί  ὁ βασίλεια ἔτος νόσος διαφθείρω .
480799	stoa0121.stoa001.opp-grc1	Διεδέξατο δὲ τὴν βασιλείαν Ταρκύνιος ὁ Πρίσκος ὀνομαζόμενος:	διαδείκνυμι δέ ὁ βασιλεία Ταρκύνιος ὁ  ὀνομάζω :
480800	stoa0121.stoa001.opp-grc1	οὗτος τὸ μὲν τῆς συγκλήτου συνέδριον διπλάσιον ἐποίησε τῷ τῶν σωμάτων ἀριθμῷ καὶ τῇ πόλει δὲ τὸν ἱππόδρομον ᾠκοδόμησε:	οὗτος ὁ μέν ὁ  συνέδριον διπλάσιος ποιέω τῷ ὁ σῶμα ἀριθμός καί ὁ πόλις δέ ὁ  οἰκοδομέω :
480801	stoa0121.stoa001.opp-grc1	θεάτρων τε ἐνεστήσατο τέρψιν Ῥωμάνην καλέσας τὴν θέαν:	θέατρον τε ἐνίστημι τέρψις  καλέω ὁ θέα :
480802	stoa0121.stoa001.opp-grc1	ἥτις ἐξ ἐκείνου καὶ εἰς τόδε τελεῖται τὴν αὐτὴν ἔχουσα προσηγορίαν.	ὅστις ἐκ ἐκεῖνος καί εἰς ὅδε τελέω ὁ αὐτός ἔχω προσηγορία .
480803	stoa0121.stoa001.opp-grc1	ἔτι δὲ Σαβίνους εἷλε μάχῃ, καὶ πολλῆς αὐτοὺς ἀφελόμενος γῆς προσεκύρωσε τῇ Ῥώμῃ.	ἔτι δέ Σαβῖνος αἱρέω μάχη , καί πολύς αὐτός ἀφαιρέω γῆ  ὁ Ῥώμη .
480804	stoa0121.stoa001.opp-grc1	πρῶτος δὲ θριαμβεύων εἰς τὴν Ῥώμην εἰσῆλθε.	πρῶτος δέ θριαμβεύω εἰς ὁ Ῥώμη εἰσέρχομαι .
480805	stoa0121.stoa001.opp-grc1	τείχη τε ἐδείματο καὶ τὰς ὑδρορόας ἤγουν ἀμάρας:	τεῖχος τε δέμω καί ὁ   ἀμάρα :
480806	stoa0121.stoa001.opp-grc1	καὶ τῆς τοῦ Καπιτωλίου κατασκευῆς ἤρξατο.	καί ὁ ὁ  κατασκευή ἄρχω .
480807	stoa0121.stoa001.opp-grc1	ὀκτώ τε ἐπὶ τοῖς τριάκοντα βασιλεύσας ἐνιαυτοὺς ὑπὸ τῶν Ἄγκου παίδων ἀνῃρέθη, παῤ οὗ τὴν βασιλείαν αὐτὸς ἀνεδέξατο.	ὀκτώ τε ἐπί ὁ  βασιλεύω ἐνιαυτός ὑπό ὁ  παῖς ἀναιρέω ,  οὗ ὁ βασιλεία αὐτός ἀναδέχομαι .
480808	stoa0121.stoa001.opp-grc1	Ἕκτος ὑποδέχεται τὴν ἀρχὴν Σερούιος Τούλλιος, ἐξ ἐπισήμου γεγονὼς μητρός:	ὑποδέχομαι ὁ ἀρχή Σερούϊος  , ἐκ ἐπίσημον γίγνομαι μήτηρ :
480809	stoa0121.stoa001.opp-grc1	ἣ καὶ αἰχμαλωσίας καὶ δουλείας περιέπεσε τύχῃ.	καί αἰχμαλωσία καί δουλεία περιπίπτω τυγχάνω .
480810	stoa0121.stoa001.opp-grc1	οὗτος ὑπηγάγετο Σαβίνους καὶ τρισὶ λόφοις ηὔξησε τὴν πόλιν, τῷ Κυριναλίῳ καὶ τῷ Βιμιναλίῳ καὶ τῷ Ἐσκυλίνῳ:	οὗτος   καί  λόφος αὐξάνω ὁ πόλις , τῷ  καί τῷ  καί ὁ  :
480811	stoa0121.stoa001.opp-grc1	τάφρους τε ὤρυξε πρὸ τοῦ τείχους κύκλῳ:	τε ὀρύσσω πρό ὁ τεῖχος κύκλος :
480812	stoa0121.stoa001.opp-grc1	καὶ ταῖς ἀπογραφαῖς τῶν σωμάτων ἔδωκεν ἀρχὴν οὔπω παῤ οὐδενὶ τῶν ἐθνῶν ἐγνωσμέναις.	καί ὁ ἀπογραφή ὁ σῶμα δίδωμι ἀρχή οὔπω   ὁ ἔθνος  .
480813	stoa0121.stoa001.opp-grc1	ἀπογραφέντες οὗν οἱ τὴν Ῥώμην οἰκοῦντες ὑπ̓ αὐτῷ συνήχθησαν εἰς ἀριθμὸν ὀγδοήκοντα τριῶν χιλιάδων, μετὰ τῶν ἐν τοῖς ἀγροῖς οἰκούντων.	ἀπογράφω  ὁ ὁ Ῥώμη οἰκέω  αὐτός συνάγω εἰς ἀριθμός   χιλιάς , μετά ὁ ἐν ὁ ἀγρός οἰκέω .
480814	stoa0121.stoa001.opp-grc1	τελευτὴν μέντοι τοῦ βίου ἐδέξατο παρὰ τοῦ γαμβροῦ Ταρκυνίου Σουπέρβου:	τελευτή  ὁ βίος δέχομαι παρά ὁ  Ταρκύνιος  :
480815	stoa0121.stoa001.opp-grc1	δηλοῖ δὲ τοῦτο ἐπώνυμον ὑπερήφανον:	δηλόω δέ οὗτος ἐπώνυμος  :
480816	stoa0121.stoa001.opp-grc1	παῖς δὲ ἦν οὗτος Ταρκυνίου τοῦ Πρίσκου, παῤ οὗ τὴν βασιλείαν ὁ σφαγεὶς οὗτος ἐδέξατο.	παῖς δέ εἰμί οὗτος Ταρκύνιος ὁ  ,  ὅς ὁ βασιλεία ὁ σφάζω οὗτος δέχομαι .
