id	filename	tokens	lemmas
1113181	stoa0146d.stoa001.opp-grc1	Μανιχαῖος ἀπόστολος Ἰησοῦ Χριστοῦ καὶ οἱ σὺν ἐμοὶ πάντες ἅγιοι κοὶ παρθένοι, Μαρκέλλῳ τέκνῳ ἀγαπητῷ.	Ἰησοῦς  καί ὁ σύν  πᾶς ἅγιος   , Μάρκελλος  ἀγαπητός .
1113182	stoa0146d.stoa001.opp-grc1	χάρις, ἔλεος, εἰρήνη ἀπὸ θεοῦ πατρὸς καὶ κυρίου ἡμῶν Ἰησοῦ Χριστοῦ.	χάρις ,  , εἰρήνη ἀπό θεός πατήρ καί  ἐγώ Ἰησοῦς  .
1113183	stoa0146d.stoa001.opp-grc1	καὶ ἡ δεξιὰ τοῦ φωτὸς διατηρήσειέ σε ἀπὸ τοῦ ἐνεστῶτος αἰῶνος πονηροῦ καὶ τῶν συμπτωμάτων αὐτοῦ καὶ παγίδων τοῦ πονηροῦ.	καί ὁ δεξιός ὁ φώς   ἀπό ὁ  αἰών πονηρός καί ὁ σύμπτωμα αὐτός καί παγίς ὁ πονηρός .
1113184	stoa0146d.stoa001.opp-grc1	ἀμήν.	ἄμη .
1113185	stoa0146d.stoa001.opp-grc1	Τὴν μὲν περὶ σὲ ἀγάπην μεγίστην οὖσαν αἰσθηθείς, λίαν ἐχάρην·	ὁ μέν περί  ἀγάπη μέγας εἰμί  , λίαν  ·
1113186	stoa0146d.stoa001.opp-grc1	τὴν δὲ πίστιν οὐκ οὖσαν κατὰ τὸν ὁρθὸν λόγον ἠχθέσθην.	ὁ δέ πίστις οὐ εἰμί κατά ὁ  λόγος ἔχθω .
1113187	stoa0146d.stoa001.opp-grc1	ὅθεν πρὸς ἐπανόρθωσιν τοῦ τῶν ἀνθρώπων γένους ἀποσταλεὶς φειδόμενός τε τῶν ἀπάτῃ καὶ πλάνῃ ἑαυτοὺς ἐκδεδωκότων, ταῦτα τὰ γράμματα πρὸς σὲ ἀναγκαῖον ἡγησάμην ἀποστεῖλαι.	ὅθεν πρός ἐπανόρθωσις ὁ ὁ ἄνθρωπος γένος ἀποστέλλω  τε ὁ ἀπάτη καί πλάνη ἑαυτοῦ  , οὗτος ὁ γράμμα πρός  ἀναγκαῖον ἡγέομαι ἀποστέλλω .
1113188	stoa0146d.stoa001.opp-grc1	πρῶτον μὶν πρὸς σωτηρίαν τῆς σεαυτοῦ ψυχῆς, ἔπειτα δὲ καὶ τῶν ἅμα σοι τυγχανόντων, πρὸς τὸ <μὴ> ἀδιάκριτόν σε ἔχειν τὸν λογισμόν, ὡς οἱ τῶν ἁπλουστέρων καθηγεμόνες διδάσκουσι λέγοντες τὸ ἀγαθὸν κοὶ τὸ κακὸν ἀπὸ τοῦ αὐτοῦ φέρεσθαι, καὶ μίαν ἀρχὴν εἰσηγούμενοι, οὐ διακρίνοντες οὐδὲ διαιροῦντες ἀπὸ τοῦ φωτὸς τὸ σκότος καὶ τὸ ἀγαθὸν ἀπὸ τοῦ κακοῦ καὶ φαύλου καὶ τὸν ἔξωθεν ἄνθρωπον ἀπὸ τοῦ ἔνδον, ὡς προείπομεν, άλλὰ κιρνῶντες καὶ ἐγκαταμιγνῦντες θάτερον θατέρῳ οὐ παύονται.	πρῶτος  πρός σωτηρία ὁ σεαυτοῦ ψυχή , ἔπειτα δέ καί ὁ ἅμα  τυγχάνω , πρός ὁ    ἔχω ὁ λογισμός , ὡς ἕ ὁ ἁπλόος καθηγεμών διδάσκω λέγω ὁ ἀγαθός  ὁ κακός ἀπό ὁ αὐτός φέρω , καί  ἀρχή  , οὐ διακρίνω οὐδέ διαιρέω ἀπό ὁ φώς ὁ σκότος καί ὁ ἀγαθός ἀπό ὁ κακός καί  καί ὁ ἔξωθεν ἄνθρωπος ἀπό ὁ ἔνδον , ὡς προαγορεύω ,   καί  ἕτερος ἕτερος οὐ παύω .
1113189	stoa0146d.stoa001.opp-grc1	σὺ δέ, ὦ τέκνον, μὴ ἶσα τοῖς πολλοῖς τῶν ἀνθρώπων ἀλογίστως καὶ ἁπλῶς ἀμφότερα, ὡς ἂν τύχοι, ἐνώσῃς, μηδὲ τῷ τῆς ἀγαθωσύνης θεῷ ἀνατίθεσο·	δέ , ὦ τέκνον , μή ἴσος ὁ πολύς ὁ ἄνθρωπος ἀλόγιστος καί ἁπλόος ἀμφότερος , ὡς ἄν τυγχάνω ,  , μηδέ τῷ ὁ ἀγαθωσύνη θεός  ·
1113190	stoa0146d.stoa001.opp-grc1	ἀρχὴν γὰρ καὶ τέλος καὶ τὸν τούτων πατέρα τῶν κακῶν ἐπὶ τὸν θεὸν ἀναφέρουσιν, ὦν τὸ τέλος κατάρας ἐγγύς.	ἀρχή γάρ καί τέλος καί ὁ οὗτος πατήρ ὁ κακός ἐπί ὁ  ἀναφέρω ,  ὁ τέλος καταίρω ἐγγύς .
1113191	stoa0146d.stoa001.opp-grc1	οὔτε γὰρ ἐν τοῖς εἰρημένοις <ἐν> εὐαγγελίοις παρ’ αὐτοῦ τοῦ σωτῆρος ἡμῶν καὶ κυρίου Ἰησοῦ Χριστοῦ πιστεύουσιν, ὅτι οὐ δύναται δέδρον καλὸν καρποὺς κακοὺς ποιῆσαι, οὑδὲ μὴν δένδρον κακὸν καλοὺς καρποὺς ποιῆσαι.	οὔτε γάρ ἐν ὁ λέγω   παρά αὐτός ὁ σωτήρ ἐγώ καί    πιστεύω , ὅτι2 οὐ δύναμαι  καλός καρπός κακός ποιέω ,  μήν δένδρον κακός καλός καρπός ποιέω .
1113192	stoa0146d.stoa001.opp-grc1	καὶ πῶς τὸν θεὸν τοῦ Σατανᾶ καὶ τῶν κακῶν αὐτοῦ πραγμάτων λέγειν τολμῶσι ποιητὴν καὶ δημιουργὸν θαυμάζειν μοι ἐπέρχεται.	καί πῶς ὁ  ὁ  καί ὁ κακός αὐτός πρᾶγμα λέγω  ποιητής καί δημιουργός θαυμάζω ἐγώ ἐπέρχομαι .
