id	filename	tokens	lemmas
981126	tlg0006.tlg009.perseus-grc2b	Τίς τὸν Διὸς σύλλεκτρον οὐκ οἶδεν βροτῶν, Ἀργεῖον Ἀμφιτρύωνʼ, ὃν Ἀλκαῖός ποτε ἔτιχθʼ ὁ Περσέως, πατέρα τόνδʼ Ἡρακλέους;	ὁ Ζεύς  οὐ οἶδα βροτός , Ἀργεῖος Ἀμφιτρύων , ὅς Ἀλκαῖος ποτε τίκτω ὁ Περσεύς , πατήρ ὅδε Ἡρακλέης ;
981127	tlg0006.tlg009.perseus-grc2b	ὃς τάσδε Θήβας ἔσχον, ἔνθʼ ὁ γηγενὴς σπαρτῶν στάχυς ἔβλαστεν, ὧν γένους Ἄρης ἔσωσʼ ἀριθμὸν ὀλίγον, οἳ Κάδμου πόλιν τεκνοῦσι παίδων παισίν.	ὅς ὅδε Θῆβαι ἔχω ,  ὁ γηγενής σπαρτός στάχυς βλαστάνω , ὅς γένος Ἄρης σῴζω ἀριθμός ὀλίγος , ὁ Κάδμος πόλις τεκνόω παῖς παῖς .
981128	tlg0006.tlg009.perseus-grc2b	ἔνθεν ἐξέφυ Κρέων Μενοικέως παῖς, ἄναξ τῆσδε χθονός.	ἔνθεν ἐκφύω Κρέων Μενοικεύς παῖς , ἄναξ ὅδε χθών .
981129	tlg0006.tlg009.perseus-grc2b	Κρέων δὲ Μεγάρας τῆσδε γίγνεται πατήρ, ἣν πάντες ὑμεναίοισι Καδμεῖοί ποτε λωτῷ συνηλάλαξαν, ἡνίκʼ εἰς ἐμοὺς δόμους ὁ κλεινὸς Ἡρακλῆς νιν ἤγετο.	Κρέων δέ Μεγάρη ὅδε γίγνομαι πατήρ , ὅς πᾶς   ποτε  συναλαλάζω ,  εἰς  δόμος ὁ κλεινός Ἡρακλέης  ἄγω .
981130	tlg0006.tlg009.perseus-grc2b	λιπὼν δὲ Θήβας, οὗ κατῳκίσθην ἐγώ, Μεγάραν τε τήνδε πενθερούς τε παῖς ἐμὸς Ἀργεῖα τείχη καὶ Κυκλωπίαν πόλιν ὠρέξατʼ οἰκεῖν, ἣν ἐγὼ φεύγω κτανὼν Ἠλεκτρύωνα·	λείπω δέ Θῆβαι , οὗ   , Μεγάρη τε ὅδε πενθερός τε παῖς  Ἀργεῖος τεῖχος καί Κυκλωπία πόλις  οἰκέω , ὅς  φεύγω κτείνω Ἠλεκτρύων ·
981131	tlg0006.tlg009.perseus-grc2b	συμφορὰς δὲ τὰς ἐμὰς ἐξευμαρίζων καὶ πάτραν οἰκεῖν θέλων, καθόδου δίδωσι μισθὸν Εὐρυσθεῖ μέγαν, ἐξημερῶσαι γαῖαν, εἴθʼ Ἥρας ὕπο κέντροις δαμασθεὶς εἴτε τοῦ χρεὼν μέτα.	συμφορά δέ ὁ  ἐξευμαρίζω καί πάτρα οἰκέω ἐθέλω , κάθοδος δίδωμι μισθός Εὐρυσθεύς μέγας , ἐξημερόω γῆ , εἴτε Ἥρα ὑπό κέντρον δαμάζω εἴτε ὁ  μετά .
981132	tlg0006.tlg009.perseus-grc2b	καὶ τοὺς μὲν ἄλλους ἐξεμόχθησεν πόνους, τὸ λοίσθιον δὲ Ταινάρου διὰ στόμα βέβηκʼ ἐς Ἅιδου, τὸν τρισώματον κύνα ἐς φῶς ἀνάξων, ἔνθεν οὐχ ἥκει πάλιν.	καί ὁ μέν ἄλλος ἐκμοχθέω πόνος , ὁ λοίσθιος δέ Ταίναρος διά στόμα  εἰς ᾍδης , ὁ τρισώματος κύων εἰς φάος ἀνάγω , ἔνθεν οὐ ἥκω πάλιν .
981133	tlg0006.tlg009.perseus-grc2b	γέρων δὲ δή τις ἔστι Καδμείων λόγος ὡς ἦν πάρος Δίρκης τις εὐνήτωρ Λύκος τὴν ἑπτάπυργον τήνδε δεσπόζων πόλιν, τὼ λευκοπώλω πρὶν τυραννῆσαι χθονὸς Ἀμφίονʼ ἠδὲ Ζῆθον, ἐκγόνω Διός.	γέρων δέ δή τις εἰμί Καδμεῖος λόγος ὡς εἰμί πάρος Δίρκη τις εὐνητήρ Λύκος ὁ ἑπτάπυργος ὅδε δεσπόζω πόλις , τῷ  πρίν τυραννεύω χθών  ἠδέ Ζῆθος ,  Ζεύς .
981134	tlg0006.tlg009.perseus-grc2b	οὗ ταὐτὸν ὄνομα παῖς πατρὸς κεκλημένος, Καδμεῖος οὐκ ὤν, ἀλλʼ ἀπʼ Εὐβοίας μολών, κτείνει Κρέοντα καὶ κτανὼν ἄρχει χθονός, στάσει νοσοῦσαν τήνδʼ ἐπεσπεσὼν πόλιν.	οὗ αὐτός ὄνομα παῖς πατήρ καλέω , Καδμεῖος οὐ εἰμί , ἀλλά ἀπό Εὔβοια βλώσκω , κτείνω Κρέων καί κτείνω ἄρχω χθών , στάσις νοσέω  ἐπεισπίπτω πόλις .
981135	tlg0006.tlg009.perseus-grc2b	ἡμῖν δὲ κῆδος ἐς Κρέοντʼ ἀνημμένον κακὸν μέγιστον, ὡς ἔοικε, γίγνεται.	ἐγώ δέ κῆδος εἰς Κρέων ἀνάπτω κακός  , ὡς ἔοικα , γίγνομαι .
