id	filename	tokens	lemmas
634514	tlg0555.tlg004b.opp-grc1	Ἤδη δὲ καιρὸς ἡμᾶς παραστῆσαι τοῖς Ἕλλησι μόνον ὄντως εἶναι θεοσεβῆ τὸν γνωστικόν, ὡς ἀναμαθόντας τοὺς φιλοσόφους, οἷός τίς ἐστιν ὁ τῷ ὄντι Χριστιανός, τῆς ἑαυτῶν ἀμαθίας καταγνῶναι, εἰκῇ μὲν καὶ ὡς ἔτυχεν διώκοντας τοὔνομα, μάτην δὲ ἀθέους ἀποκαλοῦντας τοὺς τὸν τῷ ὄντι θεὸν ἐγνωκότας.	ἤδη δέ καιρός ἐγώ παρίστημι ὁ Ἕλλην μόνος ὄντως εἰμί θεοσεβής ὁ  , ὡς  ὁ φιλόσοφος ,  τις εἰμί ὁ τῷ εἰμί Χριστιανός , ὁ ἑαυτοῦ ἀμαθία καταγιγνώσκω , εἰκῇ μέν καί ὡς τυγχάνω διώκω ὄνομα , μάτην δέ ἄθεος ἀποκαλέω ὁ ὁ τῷ εἰμί  γιγνώσκω .
634515	tlg0555.tlg004b.opp-grc1	ἐναργεστέροις δ᾿.	.
634516	tlg0555.tlg004b.opp-grc1	οἶμαι, πρὸς τοὺς φιλοσόφους χρῆσθαι προσήκει τοῖς λό γοις, ὡς ἐπαΐειν ἐκ τῆς παρ’ αὐτοῖς παιδείας ἤδη γεγυμνασμένους δύνασθαι, καὶ εἰ μηδέπω ἀξίους ἑαυτοὺς μεταλαβεῖν τῆς τοῦ πιστεῦσαι δυνάμεως παρεσχήκασι.	οἴομαι , πρός ὁ φιλόσοφος χράω2 προσήκω ὁ   , ὡς ἐπαΐω ἐκ ὁ παρά αὐτός παιδεία ἤδη  δύναμαι , καί εἰ μηδέπω ἄξιος ἑαυτοῦ μεταλαμβάνω ὁ ὁ πιστεύω δύναμις παρέχω .
634517	tlg0555.tlg004b.opp-grc1	τῶν δὲ λέξεων τῶν προφητικῶν ἐπὶ τοῦ παρόντος οὐκ ἐπιμνησθησόμεθα.	ὁ δέ λέξις ὁ προφητικός ἐπί ὁ πάρειμι οὐ  .
634518	tlg0555.tlg004b.opp-grc1	κατὰ τοὺς ἐπικαίρους τόπους ὕστερον ταῖς γραφαῖς συγχρησόμενοι·	κατά ὁ ἐπίκαιρος τόπος ὕστερον ὁ γραφή  ·
634519	tlg0555.tlg004b.opp-grc1	τὰ δ᾿ ἐξ αὐτῶν δηλούμενα σημανοῦμεν κεφαλαιωδῶς τὸν χριστιανισμὸν ὑπογράφοντες, ἵνα μὴ διακόπτωμεν τὸ συνεχὲς τοῦ λόγου συμπαραλαμβάνοντες τὰς γραφάς, καὶ ταῦτα τοῖς μηδέπω συνιεῖσιν τὰς λέξεις αὐτῶν.	ὁ  ἐκ αὐτός δηλόω  κεφαλαιώδης ὁ  ὑπογράφω , ἵνα μή  ὁ συνεχής ὁ λόγος  ὁ γραφή , καί οὗτος ὁ μηδέπω  ὁ λέγω αὐτός .
634520	tlg0555.tlg004b.opp-grc1	ἐπὰν δὲ τὰ σημαινόμενα ἐνδειξώμεθα, τότε αὐτοῖς ἐκ περιουσίας πιστεύσασι καὶ τὰ μαρτύρια φανερωθήσεται.	δέ ὁ σημαίνω  , τότε αὐτός ἐκ περιουσία πιστεύω καί ὁ μαρτύριον  .
634521	tlg0555.tlg004b.opp-grc1	( κἂν ἑτεροῖά τισι τῶν πολλῶν καταφαίνηται τὰ ὑφ’ ἡμῶν λεγόμενα τῶν κυριακῶν γραφῶν, ἰστέον ὅτι ἐκεῖθεν ἀναπνεῖ τε καὶ ζῇ, καὶ τὰς ἀφορμὰς ἀπ’ αὐτῶν ἔχοντα τὸν νοῦν μόνον, οὐ τὴν λέξιν.	( ἐάν   ὁ πολύς  ὁ ὑπό  λέγω ὁ κυριακός  ,  ὅτι2 ἐκεῖθεν ἀναπνέω τε καί ζήω , καί ὁ ἀφορμή ἀπό αὐτός ἔχω ὁ νόος μόνος , οὐ ὁ λέξις .
634522	tlg0555.tlg004b.opp-grc1	παριστᾶν ἐπαγγέλλεται.	ἐπαγγέλλω .
634523	tlg0555.tlg004b.opp-grc1	) ἥ τε γὰρ ἐπὶ πλέον ἐπεξεργασία.	) ὁ τε γάρ ἐπί πολύς  .
