id	filename	tokens	lemmas
391184	tlg0593.1st1K002.1st1K-grc1	Ἡ μὲν κατηγορία καὶ ἡ ἀπολογία κρίσις οὐ περὶ θανάτου γίγνεται·	ὁ μέν κατηγορία καί ὁ ἀπολογία κρίσις οὐ περί θάνατος γίγνομαι ·
391185	tlg0593.1st1K002.1st1K-grc1	θάνατον μὲν γὰρ ἡ φύσις φανερᾷ τῇ ψήφῳ πάντων κατεψηφίσατο τῶν θνητῶν, ᾗπερ ἡμέρᾳ τις ἐγένετο·	θάνατος μέν γάρ ὁ φύσις φανερός ὁ ψῆφος πᾶς καταψηφίζομαι ὁ θνητός ,  ἡμέρα τις γίγνομαι ·
391186	tlg0593.1st1K002.1st1K-grc1	περὶ δὲ τῆς ἀτιμίας καὶ τῆς τιμῆς ὁ κίνδυνός ἐστι, πότερά με χρὴ.	περί δέ ὁ ἀτιμία καί ὁ τιμή ὁ κίνδυνος εἰμί , πότερος  χρή .
391187	tlg0593.1st1K002.1st1K-grc1	.	.
391188	tlg0593.1st1K002.1st1K-grc1	.	.
391189	tlg0593.1st1K002.1st1K-grc1	δικαίως ἀποθανεῖν, ἢ μετ’ ὀνειδῶν μεγίστων καὶ τῆς αἰσχίστης αἰτίας βιαίως ἀποθανεῖν.	δίκαιος ἀποθνῄσκω , ἤ μετά ὄνειδος μέγας καί ὁ αἰσχρός αἰτία βίαιος ἀποθνῄσκω .
391190	tlg0593.1st1K002.1st1K-grc1	δισσῶν δὲ τούτων ὄντων τοῦ μὲν ὑμεῖς ὅλου κρατεῖτε, τοῦ δ᾿ ἐγώ, τῆς μὲν δίκης ἐγώ, τῆς δὲ βίας ὑμεῖς.	δισσός δέ οὗτος εἰμί ὁ μέν   κρατέω , ὁ   , ὁ μέν δίκη  , ὁ δέ βία  .
391191	tlg0593.1st1K002.1st1K-grc1	ἀποκτεῖναι μὲν γάρ με δυνήσεσθε βουλόμενοι ῥᾳδίως·	ἀποκτείνω μέν γάρ    ῥᾴδιος ·
391192	tlg0593.1st1K002.1st1K-grc1	κρατεῖτε γὰρ καὶ τούτων, ὧν οὐδὲν ἐγὼ τυγχάνω κρατῶν.	κρατέω γάρ καί οὗτος , ὅς οὐδείς  τυγχάνω κρατέω .
391193	tlg0593.1st1K002.1st1K-grc1	Εἰ μὲν οὖν ὁ κατήγορος Ὀδυσσεὺς ἢ σαφῶς ἐπιστάμενος προδιδόντα με τὴν Ἑλλάδα τοῖς βαρβάροις ἢ δοξάζων οὕτω ταῦτ᾿ ἔχειν ἐποιεῖτο τὴν κατηγορίαν δι’ εὔνοιαν τῆς Ἑλλάδος, ἄριστος ἂν ἦν ὁ ἀνήρ·	εἰ μέν οὖν ὁ κατήγορος Ὀδυσσεύς ἤ σαφής ἐφίστημι   ὁ Ἑλλάς ὁ  ἤ δοξάζω οὕτως  ἔχω ποιέω ὁ κατηγορία διά εὔνοια ὁ Ἑλλάς , ἄριστος ἐάν εἰμί ὁ ἀνήρ ·
391194	tlg0593.1st1K002.1st1K-grc1	πῶς γὰρ οὐχ ὅ γε σῴζων πατρίδα, τοκέας, τὴν πᾶσαν Ἑλλάδα, ἔτι δὲ πρὸς τούτοις τὸν ἀδικοῦντα τιμωρούμενος;	πῶς γάρ οὐ ὁ γε σῴζω πατρίς ,  , ὁ πᾶς Ἑλλάς , ἔτι δέ πρός οὗτος ὁ ἀδικέω τιμωρέω ;
391195	tlg0593.1st1K002.1st1K-grc1	εἰ δὲ φθόνῳ καὶ κακοτεχνίᾳ καὶ πανουργίᾳ συνέθηκε ταύτην τὴν αἰτίαν, ὥσπερ δι’ ἐκεῖνα κράτιστος ἂν ἦν ἀνήρ, οὕτω διὰ ταῦτα κάκιστος ἀνήρ.	εἰ δέ φθόνος καί κακοτεχνία καί πανουργία συντίθημι οὗτος ὁ αἰτία , ὥσπερ διά ἐκεῖνος κράτιστος ἄν εἰμί ἀνήρ , οὕτως διά οὗτος κακός ἀνήρ .
391196	tlg0593.1st1K002.1st1K-grc1	Περὶ τούτων δὲ λέγων πόθεν ἄρξωμαι;	περί οὗτος δέ λέγω πόθεν ἄρχω ;
391197	tlg0593.1st1K002.1st1K-grc1	τί δὲ πρῶτον εἴπω;	τίς δέ πρῶτος λέγω ;
391198	tlg0593.1st1K002.1st1K-grc1	ποῖ δὲ τῆς ἀπολογίας τράπωμαι;	ποῖ δέ ὁ ἀπολογία τρέπω ;
391199	tlg0593.1st1K002.1st1K-grc1	αἰτία γὰρ ἀνεπίδεικτος ἔκπληξιν ἐμφανῆ ἐμποιεῖ, διὰ δὲ τὴν ἔκπληξιν ἀπορεῖν ἀνάγκη τῷ λόγῳ, ἂν μή τι παρ’ αὐτῆς τῆς ἀληθείας καὶ τῆς παρούσης ἀνάγκης μάθω, διδασκάλων ἐπικινδυνοτέρων ἢ ποριμωτέρων τυχών.	αἰτία γάρ   ἐμφανής ἐμποιέω , διά δέ ὁ ἔκπληξις ἀπορέω2 ἀνάγκη τῷ λόγος , ἐάν μή τι παρά αὐτός ὁ ἀλήθεια καί ὁ πάρειμι ἀνάγκη μανθάνω ,   ἤ πόριμος τυγχάνω .
391200	tlg0593.1st1K002.1st1K-grc1	Ὅτι μὲν οὖν οὐ σαφῶς εἰδὼς ὁ κατήγορος κατηγορεῖ μου, σαφῶς οἶδα·	μέν οὖν οὐ σαφής οἶδα ὁ κατήγορος κατηγορέω  , σαφής οἶδα ·
391201	tlg0593.1st1K002.1st1K-grc1	σύνοιδα γὰρ ἐμαυτῷ σαφῶς οὐδὲν τοιοῦτον πεποιηκώς·	γάρ ἐμαυτοῦ σαφής   ποιέω ·
391202	tlg0593.1st1K002.1st1K-grc1	οὐδ᾿ ἔοιχ᾿ ὅπως ἂν εἰδείη τις εἶναι τὸ μὴ γενόμενον.	ὅπως ἄν οἶδα τις εἰμί ὁ μή γίγνομαι .
391203	tlg0593.1st1K002.1st1K-grc1	εἰ δ᾿ οἰόμενος οὕτω ταῦτ᾿ ἔχειν ἐποιεῖτο τὴν κατηγορίαν, οὐκ ἀληθῆ λέγειν διὰ δισσῶν ὑμῖν ἐπιδείξω τρόπων.	εἰ   οὕτως  ἔχω ποιέω ὁ κατηγορία , οὐ ἀληθής λέγω διά δισσός σύ ἐπιδείκνυμι τρόπος .
391204	tlg0593.1st1K002.1st1K-grc1	οὔτε γὰρ βουληθεὶς ἐδυνάμην ἂν οὔτε δυνάμενος ἐβουλήθην ἔργοις ἐπιχειρεῖν τοιούτοις.	οὔτε γάρ βούλομαι δύναμαι ἄν οὔτε  βούλομαι ἔργον ἐπιχειρέω τοιοῦτος .
391205	tlg0593.1st1K002.1st1K-grc1	Ἐπὶ τοῦτον δὲ τὸν λόγον εἶμι πρῶτον, ὡς ἀδύνατός εἰμι τοῦτο πράττειν.	ἐπί οὗτος δέ ὁ λόγος εἶμι πρῶτος , ὡς ἀδύνατος εἰμί οὗτος πράσσω .
391206	tlg0593.1st1K002.1st1K-grc1	ἔδει γάρ τινα πρῶτον ἀρχὴν γενέσθαι τῆς προδοσίας, ἡ δ᾿ ἀρχὴ λόγος ἂν εἴη·	δέω γάρ τις πρῶτος ἀρχή γίγνομαι ὁ προδοσία , ὁ  ἀρχή λόγος ἄν εἰμί ·
391207	tlg0593.1st1K002.1st1K-grc1	πρὸ γὰρ τῶν μελλόντων ἔργων ἀνάγκη λόγους γίγνεσθαι πρότερον.	πρό γάρ ὁ μέλλω ἔργον ἀνάγκη λόγος γίγνομαι  .
391208	tlg0593.1st1K002.1st1K-grc1	λόγοι δὲ πῶς ἂν γένοιντο μὴ συνουσίας τινὸς γενομένης;	λόγος δέ πῶς ἄν γίγνομαι μή συνουσία  γίγνομαι ;
391209	tlg0593.1st1K002.1st1K-grc1	συνουσία δὲ τίνα τρόπον γένοιτ᾿ ἂν μήτ᾿ ἐκείνου πρὸς ἐμὲ πέμψαντος μήτε του παρ’ ἐμοῦ πρὸς ἐκεῖνον ἐλθόντος;	συνουσία δέ  τρόπος  ἐάν  ἐκεῖνος πρός  πέμπω   παρά ἐμός πρός ἐκεῖνος ἔρχομαι ;
391210	tlg0593.1st1K002.1st1K-grc1	οὐδὲ γὰρ παραγγελία διὰ γραμμάτων ἀφίκοιτ᾿ ἂν ἄνευ τοῦ φέροντος.	οὐδέ γάρ παραγγελία διά γράμμα  ἀνά ἄνευ ὁ φέρω .
391211	tlg0593.1st1K002.1st1K-grc1	Ἀλλὰ δὴ τοῦτο τῷ λόγῳ δυνατὸν γενέσθω.	ἀλλά δή οὗτος τῷ λόγος δυνατός γίγνομαι .
391212	tlg0593.1st1K002.1st1K-grc1	καὶ δὴ τοίνυν σύνειμι καὶ σύνεστι κἀκεῖνος ἐμοὶ κἀκείνῳ ἐγώ.	καί δή τοίνυν σύνειμι καί σύνειμι ἐκεῖνος  ἐκεῖνος  .
391213	tlg0593.1st1K002.1st1K-grc1	τίνα τρόπον;	τρόπος ;
391214	tlg0593.1st1K002.1st1K-grc1	τίνι τίς ὤν;	τις εἰμί ;
391215	tlg0593.1st1K002.1st1K-grc1	Ἕλλην βαρβάρῳ.	.
391216	tlg0593.1st1K002.1st1K-grc1	πῶς ἀκούων καὶ λέγων;	πῶς ἀκούω καί λέγω ;
391217	tlg0593.1st1K002.1st1K-grc1	πότερα μόνος μόνῳ;	πότερος μόνος μόνος ;
391218	tlg0593.1st1K002.1st1K-grc1	ἀλλ᾿ ἀγνοήσομεν τοὺς ἀλλήλων λόγους.	ὁ ἀλλήλων λόγος .
391219	tlg0593.1st1K002.1st1K-grc1	ἀλλὰ μεθ’ ἑρμηνέως;	ἀλλά μετά  ;
391220	tlg0593.1st1K002.1st1K-grc1	τρίτος ἄρα μάρτυς γίγνεται τῶν κρύπτεσθαι δεομένων.	τρίτος ἄρα μάρτυς γίγνομαι ὁ κρύπτω δέω .
391221	tlg0593.1st1K002.1st1K-grc1	Ἀλλὰ δὴ καὶ τοῦτο γενέσθω, καίπερ οὐ γενόμενον.	ἀλλά δή καί οὗτος γίγνομαι , καίπερ οὐ γίγνομαι .
391222	tlg0593.1st1K002.1st1K-grc1	ἔδει δή μ᾿ ἐπὶ τούτοις πίστιν δοῦναι καὶ δέξασθαι.	δέω δή  ἐπί οὗτος πίστις δίδωμι καί δέχομαι .
391223	tlg0593.1st1K002.1st1K-grc1	τίς οὖν ἂν ἦν ἡ πίστις;	τις οὖν ἄν εἰμί ὁ πίστις ;
391224	tlg0593.1st1K002.1st1K-grc1	πότερον ὅρκος;	πότερος ὅρκος ;
391225	tlg0593.1st1K002.1st1K-grc1	τίς οὖν ἐμοὶ τῷ προδότῃ πιστεύειν ἔμελλεν;	τις οὖν  ὁ προδότης πιστεύω μέλλω ;
391226	tlg0593.1st1K002.1st1K-grc1	ἀλλ᾿ ὅμηροι;	;
391227	tlg0593.1st1K002.1st1K-grc1	τίνες;	τις ;
391228	tlg0593.1st1K002.1st1K-grc1	οἷον ἐγὼ τὸν ἀδελφὸν ἔδωκ᾿ ἄν, οὐ γὰρ εἶχον ἄλλον, ὁ δὲ βάρβαρος τῶν υἱέων τινά·	οἷος  ὁ ἀδελφός  ἄν , οὐ γάρ ἔχω ἄλλος , ὁ δέ βάρβαρος ὁ υἱός τις ·
391229	tlg0593.1st1K002.1st1K-grc1	πιστότατα γὰρ ἂν ἦν οὕτως ἐμοί τε παρ’ ἐκείνου κείνῳ τε παρ’ ἐμοῦ.	πιστός2 γάρ ἄν εἰμί οὕτως  τε παρά  ἐκεῖνος τε παρά ἐμός .
391230	tlg0593.1st1K002.1st1K-grc1	ταῦτα δὲ γιγνόμενα πᾶσιν ὑμῖν ἂν ἦν φανερά.	οὗτος δέ  πᾶς  ἄν εἰμί φανερός .
391231	tlg0593.1st1K002.1st1K-grc1	Φήσει τις ὡς χρήμασι τὴν πίστιν ἐποιούμεθα, κεῖνος μὲν διδούς, ἐγὼ δὲ λαμβάνων.	τις ὡς χρῆμα ὁ πίστις  , ἐκεῖνος μέν δίδωμι ,  δέ λαμβάνω .
391232	tlg0593.1st1K002.1st1K-grc1	πότερον οὖν ὀλίγοις;	πότερος οὖν ὀλίγος ;
391233	tlg0593.1st1K002.1st1K-grc1	ἀλλ᾿ οὐκ εἰκὸς ἀντὶ μεγάλων ὑπουργημάτων ὀλίγα χρήματα λαμβάνειν.	οὐ ἔοικα ἀντί μέγας ὑπούργημα ὀλίγος χρῆμα λαμβάνω .
391234	tlg0593.1st1K002.1st1K-grc1	ἀλλὰ πολλά;	ἀλλά πολύς ;
391235	tlg0593.1st1K002.1st1K-grc1	τίς οὖν ἂν ἦν ἡ κομιδή;	τις οὖν ἄν εἰμί ὁ κομιδή ;
391236	tlg0593.1st1K002.1st1K-grc1	πόσοι δ᾿ ἂν ἐκόμισαν;	ἄν κομίζω ;
391237	tlg0593.1st1K002.1st1K-grc1	εἷς ἢ πολλοί;	τίη πολύς ;
391238	tlg0593.1st1K002.1st1K-grc1	πολλῶν μὲν γὰρ κομιζόντων πολλοὶ ἂν ἦσαν οἱ μάρτυρες τῆς ἐπιβουλῆς, ἑνὸς δὲ κομίζοντος οὐκ ἂν πολύ τι τὸ φερόμενον ἦν.	πολύς μέν γάρ κομίζω πολύς ἄν εἰμί ὁ μάρτυς ὁ ἐπιβουλή ,  δέ κομίζω οὐ ἐάν  τις ὁ φέρω εἰμί .
391239	tlg0593.1st1K002.1st1K-grc1	πότερα δ᾿ ἐκόμισεν ἡμέρας ἢ νυκτός;	πότερος  κομίζω ἡμέρα ἤ νύξ ;
391240	tlg0593.1st1K002.1st1K-grc1	ἀλλὰ πολλαὶ καὶ πυκναὶ φυλακαί, δι’ ὧν οὐκ ἔστι λαθεῖν.	ἀλλά πολύς καί πυκνός φυλακή , διά ὅς οὐ εἰμί λανθάνω .
391241	tlg0593.1st1K002.1st1K-grc1	ἀλλ᾿ ἡμέρας;	ἡμέρα ;
391242	tlg0593.1st1K002.1st1K-grc1	ἀλλά γε τὸ φῶς πολεμεῖ τοῖς τοιούτοις.	ἀλλά γε ὁ φάος πολεμέω ὁ τοιοῦτος .
391243	tlg0593.1st1K002.1st1K-grc1	εἶεν.	εἶἑν .
391244	tlg0593.1st1K002.1st1K-grc1	ἐγὼ δ᾿ ἐξελθὼν ἐδεξάμην, ἢ κεῖνος ὁ φέρων εἰσῆλθεν;	ἐξέρχομαι δέχομαι , ἤ ἐκεῖνος ὁ φέρω εἰσέρχομαι ;
391245	tlg0593.1st1K002.1st1K-grc1	ἀμφότερα γὰρ ἄπορα.	ἀμφότερος γάρ ἄπορος .
