id	filename	tokens	lemmas
619310	tlg0616.tlg001.1st1K-grc1	ΒΙΒΛΙΟΝ ΠΡΩΤΟΝ. Τὴν μὲν κατὰ Περσῶν καὶ Παρθυαίων νίκην, ἱρώτατοι βασιλεῖςἈντωνῖνε καὶ Οὐῆρε, παρὰ τῶν θεῶν ἕξετε καὶ παρὰ τῆς ὑμετέρας ἀρετῆς καὶ παρὰ τῆς Ρωμαίων ἀνδρείας, μεθʼ ὧν ἀεὶ, καὶ πάλαι καὶ νῦν εἰῶώθατε νικᾶν τοὺς ὑπάρχοντας πολέμους καὶ μάχας·	μέν κατά Πέρσης καί  νίκη ,  βασιλεύς Ἀντωνῖνε καί  , παρά ὁ θεός ἔχω καί παρά ὁ ὑμέτερος ἀρετή καί παρά ὁ  ἀνδρεία , μετά ὅς ἀεί , καί πάλαι καί νῦν  νικάω ὁ  πόλεμος καί μάχη ·
619311	tlg0616.tlg001.1st1K-grc1	ἐγὼ δὲ Μακεδῶν ἀνὴρ, πάτριον ἔχων τὸ κρα- τεῖν Περσῶν πολεμούντων δύνασθαι, οὐκ ἀσύμβολος ὑμῖν ἐν τῷ παρόντι καιρῷ γενέσθαι βούλομαι.	δέ  ἀνήρ , πάτριος ἔχω ὁ  -  Πέρσης πολεμέω δύναμαι , οὐ ἀσύμβολος  ἐν ὁ πάρειμι καιρός γίγνομαι βούλομαι .
619312	tlg0616.tlg001.1st1K-grc1	ἀλλʼ, εἰ μὲν ἤκμαζέ μοι τὸ σῶμα καὶ στρατιώτης πρόθυμος ἂν ἐγενόμην Μακεδονικῇ ῥώμῃ χρώμενος·	, εἰ μέν   ὁ σῶμα καί στρατιώτης πρόθυμος ἐάν γίγνομαι Μακεδονικός ῥώμη χράω2 ·
619313	tlg0616.tlg001.1st1K-grc1	ἐπεὶ δέ μοι προήκουσαν τὴν ἡλικίαν ὁρᾶτε, οὐ μὴν οὐδὲ νῦν ἀστράτευτος παντάπασιν ἀπολειφθήσομαι, ἀλλὰ τῆς στρατηγικῆς ἐπιστήμης ἐφόδια ταυτὶ προσφέρω, ὅσα τῶν πάλαι γέγονε στρατηγήματα, ὑμῖν τε αὐτοῖς πολ- λὴν ἐμπειρίαν παλαιῶν ἔργων, τοῖς τε ὑπὸ ὑμῶν πεμπομένοις πολεμάρχοις ἢ στρατηγοῖς ἢ μυριάρχοις ἢ χιλιάρχοις ἢ ἑξακοσιάρχοις ἢ ὅσαι ἄλλαι ὅπλων ἀρχαὶ, διδασκομένοις ἀρχαίων κατορθωμάτων ἀρετὰς καὶ τέχνας.	ἐπεί δέ  προήκω ὁ ἡλικία ὁράω , οὐ μήν οὐδέ νῦν ἀστράτευτος παντάπασι  , ἀλλά ὁ στρατηγικός ἐπιστήμη ἐφόδιον  προσφέρω , ὅσος ὁ πάλαι γίγνομαι στρατήγημα , σύ τε αὐτός  -  ἐμπειρία παλαιός ἔργον , ὁ τε ὑπό ὑμός πέμπω πολέμαρχος τίη στρατηγός τίη μυρίαρχος τίη χιλίαρχος ἤ  ἤ ὅσος ἄλλος ὅπλον ἀρχή , διδάσκω ἀρχαῖος κατόρθωμα ἀρετή καί τέχνη .
619314	tlg0616.tlg001.1st1K-grc1	ἀνδρεία μὲν γὰρ, ὅστις ἀλκῇ χρησά- μενος πολεμίων μαχομένων ἐκράτησεν, εὐβουλία δὲ, ἀμαχεὶ τέχνῃ καὶ δόλῳ περιγίγνεσθαι·	ἀνδρεία μέν γάρ , ὅστις ἀλκή  -  πολέμιος  κρατέω , εὐβουλία δέ , ἀμαχεί τέχνη καί δόλος περιγίγνομαι ·
619315	tlg0616.tlg001.1st1K-grc1	ὡς ἔστι πρῶώτη δεινῶν στρατηγῶν σοφία κτᾶσθαι τὴν νίκην ἀκίνδυνον.	ὡς εἰμί  δεινός στρατηγός  κτάομαι ὁ νίκη ἀκίνδυνος .
619316	tlg0616.tlg001.1st1K-grc1	ἄριστον δὲ καὶ τὸ ἐν αὐτῇ τῇ παρατάξει μηχανᾶσθαι, ὅπως ἄν ἡ γνώμη τὸ κρατεῖν ἐσπισπῷτο προλαβοῦσα τὸ τέλος τῆς μάχης.	ἄριστος δέ καί ὁ ἐν αὐτός ὁ παράταξις μηχανάομαι , ὅπως ἄν ὁ γνώμη ὁ κρατέω  προλαμβάνω ὁ τέλος ὁ μάχη .
619317	tlg0616.tlg001.1st1K-grc1	δοκεῖ δʼ ἔμοιγε ταῦτα συμβου- λεύειν καὶ Ὅμηρος·	δοκέω δέ ἐγώ οὗτος  - λεύω καί Ὅμηρος ·
619318	tlg0616.tlg001.1st1K-grc1	ὅταν γὰρ πολλάκις ᾄδῃ.	ὅταν γάρ πολλάκις ἀείδω .
619319	tlg0616.tlg001.1st1K-grc1	.	.
