id	filename	tokens	lemmas
571505	tlg0627.tlg024a.1st1K-grc1	ΠΕΡΙ ΓΟΝΗΣ.	.
571506	tlg0627.tlg024a.1st1K-grc1	ΠΕΡΙ ΦΥΣΙΟΣ ΠΑΙΔΙΟΥ.	.
571507	tlg0627.tlg024a.1st1K-grc1	ΠΕΡΙ ΝΟΥΣΩΝ ΤΟ ΤΕΤΑΡΤΟΝ.	.
571508	tlg0627.tlg024a.1st1K-grc1	1.	.
571509	tlg0627.tlg024a.1st1K-grc1	Νόμος μὲν πάντα κρατύνει·	νόμος μέν πᾶς κρατύνω ·
571510	tlg0627.tlg024a.1st1K-grc1	ἡ δὲ γονὴ τοῦ ἀνδρὸς ἔρχεται ἀπὸ παντὸς τοῦ ὑγροῦ τοῦ ἐν τῷ σώματι ἐόντος τὸ ἰσχυρότατον ἀποκριθέν·	ὁ δέ γονή ὁ ἀνήρ ἔρχομαι ἀπό πᾶς ὁ  ὁ ἐν ὁ σῶμα εἰμί ὁ ἰσχυρός  ·
571511	tlg0627.tlg024a.1st1K-grc1	τούτου δὲ ἱστόριον τόδε, ὅτι ἀποκρίνεται τὸ ἰσχυρότατον, ὅτι ἐπὴν λαγνεύσωμεν σμικρὸν οὕτω μεθέντες, ἀσθενέες γινόμεθα.	οὗτος δέ  ὅδε , ὅτι2 ἀποκρίνω ὁ ἰσχυρός , ὅτι2   μικρός οὕτως  , ἀσθενής γίγνομαι .
571512	tlg0627.tlg024a.1st1K-grc1	Ἔχει δὲ οὕτω·	δέ οὕτως ·
571513	tlg0627.tlg024a.1st1K-grc1	φλέβες καὶ νεῦρα ἀπὸ παντὸς τοῦ σώματος τείνουσιν ἐς τὸ αἰδοῖον, οἷσιν ὑποτριβομένοισι καὶ θερμαινομένοισι καὶ πληρευμένοισιν ὥσπερ κνησμὸς ἐμπίπτει καὶ τῷ σώματι παντὶ ἡδονὴ καὶ θέρμη ἐκ τούτου παραγίνεται·	καί νεῦρον ἀπό πᾶς ὁ σῶμα τείνω εἰς ὁ αἰδοῖον ,   καί  καί  ὥσπερ κνησμός ἐμπίπτω καί τῷ σῶμα πᾶς ἡδονή καί θέρμη ἐκ οὗτος παραγίγνομαι ·
571514	tlg0627.tlg024a.1st1K-grc1	τριβομένου δὲ τοῦ αἰδοίου καὶ τοῦ ἀνθρώπου κινευμένου, τὸ ὑγρὸν θερμαίνεται ἐν τῷ σώματι καὶ διαχέεται καὶ κλονέεται ὑπὸ τῆς κινήσιος καὶ ἀφρέει, καθάπερ καὶ τἄλλα ὑγρὰ ξύμπαντα κλονεύμενα ἀφρέει·	τρίβω δέ ὁ αἰδοῖος καί ὁ ἄνθρωπος κινέω , ὁ ὑγρός θερμαίνω ἐν ὁ σῶμα καί διαχέω καί  ὑπό ὁ κίνησις καί ἀφρέω , καθά καί  ὑγρός σύμπας  ἀφρέω ·
571515	tlg0627.tlg024a.1st1K-grc1	οὕτω δὲ κἀν τῷ ἀνθρώπῳ ἀποκρίνεται ἀπὸ τοῦ ὑγροῦ ἀφρέοντος τὸ ἰσχυρότατον καὶ πιότατον, καὶ ἔρχεται εἰς τὸν νωτιαῖον μυελόν·	οὕτως δέ ἐν τῷ ἄνθρωπος ἀποκρίνω ἀπό ὁ   ὁ ἰσχυρός καί πίων , καί ἔρχομαι εἰς ὁ νωτιαῖος μυελός ·
571516	tlg0627.tlg024a.1st1K-grc1	τείνουσι γὰρ ἐς τοῦτον ἐκ παντὸς τοῦ σώματος, καὶ διαχέει ἐκ τοῦ ἐγκεφάλου εἰς τὴν ὀσφὺν καὶ ἐς πᾶν τὸ σῶμα καὶ ἐς τὸν μυελὸν, καὶ ἐξ αὐτοῦ τείνουσιν ὁδοὶ, ὥστε καὶ ἐπιέναι τοῦ ὑγροῦ ἐς αὐτὸν καὶ ἀποχωρέειν.	τείνω γάρ εἰς οὗτος ἐκ πᾶς ὁ σῶμα , καί  ἐκ ὁ  εἰς ὁ ὀσφύς καί εἰς πᾶς ὁ σῶμα καί εἰς ὁ μυελός , καί ἐκ αὐτός τείνω  , ὥστε καί ἔπειμι2 ὁ ὑγρός εἰς αὐτός καί  .
571517	tlg0627.tlg024a.1st1K-grc1	Ἐπὴν δὲ ἔλθῃ ἐς τοῦτον τὸν μυελὸν ἡ γονὴ, χωρέει παρὰ τοὺς νεφρούς·	δέ ἔρχομαι εἰς οὗτος ὁ μυελός ὁ γονή , χωρέω παρά ὁ νεφρός ·
571518	tlg0627.tlg024a.1st1K-grc1	ταύτῃ γὰρ ἡ ὁδός ἐστι διὰ φλεβῶν, κἢν οἱ νεφροὶ ἑλκωθῶσιν, ἔστιν ὅτε καὶ αἷμα ξυμφέρεται·	οὗτος γάρ ὁ ὁδός εἰμί διά  ,  ἕ νεφρός  , εἰμί ὅτε καί αἷμα  ·
571519	tlg0627.tlg024a.1st1K-grc1	παρὰ δὲ τῶν νεφρῶν ἔρχεται διὰ τῶν ὀρχίων μεσάτων ἐς τὸ αἰδοῖον·	παρά δέ ὁ  ἔρχομαι διά ὁ   εἰς ὁ αἰδοῖος ·
571520	tlg0627.tlg024a.1st1K-grc1	καὶ χωρέει οὐχ ὅπη τὸ οὖρον, ἀλλά οἱ ἄλλη ὁδός ἐστιν αὐτῆς ἐχομένη.	καί χωρέω οὐ ὅπη ὁ ὅρος , ἀλλά ἕ ἄλλος ὁδός εἰμί αὐτός ἔχω .
571521	tlg0627.tlg024a.1st1K-grc1	Καὶ οἱ ἐξονειρώσσοντες διὰ τάδε ἐξονειρώσσουσιν·	καί ὁ  διά ὅδε  ·
571522	tlg0627.tlg024a.1st1K-grc1	ἐπὴν τὸ ὑγρὸν ἐν τῷ σώματι διακεχυμένον ἔῃ καὶ διάθερμον, εἴτε ὑπὸ ταλαιπωρίης, εἴτε καὶ ὑπὸ ἄλλου τινὸς, ἀφρέει·	ὁ ὑγρός ἐν ὁ σῶμα  εἰμί καί  , εἴτε ὑπό ταλαιπωρία , εἴτε καί ὑπό   , ἀφρέω ·
571523	tlg0627.tlg024a.1st1K-grc1	καὶ ἀποκρινο.	καί  .
571524	tlg0627.tlg024a.1st1K-grc1	μένου ἀπ’ αὐτοῦ ὁρᾷν παρίσταται οἷάπερ ἐν τῇ λαγνείῃ·	ἀπό αὐτός  παρίστημι  ἐν ὁ λαγνεία ·
571525	tlg0627.tlg024a.1st1K-grc1	ἔχει γὰρ τὸ ὑγρὸν τοῦτο ὅπερ λαγνεύοντι·	ἔχω γάρ ὁ ὑγρός οὗτος ὅς  ·
571526	tlg0627.tlg024a.1st1K-grc1	ἀλλ’ οὔ μοι περὶ ὀνειρωσσόντων καὶ παντὸς τοῦ νοσήματος τί ἐστὶ, καὶ ὁκόσα ἐργάζεται, καὶ διότι πρὸ λαγνείης.	ἀλλά οὐ  περί  καί πᾶς ὁ νόσημα τίς εἰμί , καί ὁπόσος ἐργάζομαι , καί διότι πρό  .
571527	tlg0627.tlg024a.1st1K-grc1	Καὶ ταῦτα μὲν ἐς τοῦτό μοι εἰρέαται.	καί οὗτος μέν εἰς   λέγω .
571528	tlg0627.tlg024a.1st1K-grc1	2.	.
571529	tlg0627.tlg024a.1st1K-grc1	Οἱ δὲ εὐνοῦχοι διὰ ταῦτα οὐ λαγνεύουσιν, ὅτι σφέων ἡ δίοδος ἀμαλδύνεται τῆς γονῆς·	ὁ δέ εὐνοῦχος διά οὗτος οὐ  , ὅτι2 σφεῖς ὁ δίοδος ἀμαλδύνω ὁ γονή ·
571530	tlg0627.tlg024a.1st1K-grc1	ἔστι γὰρ δι’ αὐτῶν τῶν ὀρχίων ἡ ὁδός·	εἰμί γάρ διά αὐτός ὁ  ὁ ὁδός ·
571531	tlg0627.tlg024a.1st1K-grc1	καὶ νεῦρα τείνει λεπτὰ καὶ πυκνὰ ἐς τὸ αἰδοῖον ἐκ τῶν ὀρχίων, οἶσιν ἀείρεται καὶ καθίεται, καὶ ταῦτα ἐν τῇ τομῇ ἀποτέμνεται, διὸ οὐχ ὑπάρχουσιν οἱ εὐνοῦχοι χρηστοί·	καί νευρά τείνω λεπτός καί πυκνός εἰς ὁ αἰδοῖος ἐκ ὁ  ,  αἴρω καί  , καί οὗτος ἐν ὁ τομή ἀποτέμνω , διό οὐ ὑπάρχω ὁ εὐνοῦχος χρηστός ·
571532	tlg0627.tlg024a.1st1K-grc1	τῶν δὲ τάδε ἐκτριβέντων ἡ ὁδὸς τῆς γονῆς ἐμπέφρακται·	ὁ δέ ὅδε  ὁ ὁδός ὁ γονή  ·
571533	tlg0627.tlg024a.1st1K-grc1	πωροῦνται γὰρ οἱ ὄρχιες·	γάρ ὁ ὄρχις ·
