id	filename	tokens	lemmas
1284785	tlg1409.opp003.1st1K-grc1	In ood.	.
1284786	tlg1409.opp003.1st1K-grc1	Vatic.	.
1284787	tlg1409.opp003.1st1K-grc1	997, nunc Paris.	,   .
1284788	tlg1409.opp003.1st1K-grc1	suppl.	.
1284789	tlg1409.opp003.1st1K-grc1	gr, 352( saec.	,  (  .
1284790	tlg1409.opp003.1st1K-grc1	VIII) et depeidito gemello codice, unde nonnullialii sunt descripti, sub titulo ἐκ τῶν Ἡρακλείδου περὶ πολιτείας Ἀθηναίων( itemque de ceterarum nationum rebus publicis) servata est epitoma operis quod Aristotelicum hoc verbo tenus secutum est, nisi id ipsum fuit.	,   alii   ,   ἐκ ὁ Ἡρακλείδης περί πολιτεία Ἀθήναιος (       )            ,     .
1284791	tlg1409.opp003.1st1K-grc1	aut enim Heraclides ille librum Aristotelicum ipse excerpsit, aut epitomator Heraclidi sive Pontico sive alii opus tribuit quod sub Aristotelis nomine cognovimus.	,               .
1284792	tlg1409.opp003.1st1K-grc1	epitomam ediderunt C. Peruscus(a.	( a .
1284793	tlg1409.opp003.1st1K-grc1	1545),F.G. Schneidewin( 1847),C. Mueller;	) , F. G.  (  ) , C.  ;
1284794	tlg1409.opp003.1st1K-grc1	( Frag.	(  .
1284795	tlg1409.opp003.1st1K-grc1	Hist.	.
1284796	tlg1409.opp003.1st1K-grc1	Graec.	.
1284797	tlg1409.opp003.1st1K-grc1	II 208, 1848), denique V. Rose, quem( ed.	,  ) ,    ,  (  .
1284798	tlg1409.opp003.1st1K-grc1	Teub.	.
1284799	tlg1409.opp003.1st1K-grc1	, 1886)plerumque secutus sum.	,  ) plerumque   .
1284800	tlg1409.opp003.1st1K-grc1	clausulas disposuerunt K- W. 1.	.
1284801	tlg1409.opp003.1st1K-grc1	ἀθηναῖοι τὸ μὲν ἴε ἀρχῆς ἐχρῶντο βασιλείᾳ·	ὁ μέν εἶμι ἀρχή χράω2 βασίλεια ·
1284802	tlg1409.opp003.1st1K-grc1	συνοικἦσαντος δὲ Ἴωνος αὐτοὺς τότε τρῶτον Ἴωνες ἐκλήθησαν.	δέ Ἴων αὐτός τότε  Ἴωνες καλέω .
1284803	tlg1409.opp003.1st1K-grc1	Πανδίων δὲ βασιλεύσας μετὰ Ἐρεχθέα διένειμα τὴν ἀρχὴν τοῖς υἱοῖς.	δέ βασιλεύω μετά Ἐρεχθεύς  ὁ ἀρχή ὁ υἱός .
1284804	tlg1409.opp003.1st1K-grc1	καὶ διετέλουν οὗτοι στασιάζοντες.	καί διατελέω οὗτος στασιάζω .
1284805	tlg1409.opp003.1st1K-grc1	Θησεὺς δὲ ἐκήρυξε καὶ συνεβίβασε τουτους ἐφ’ ἴσῃ καὶ ὁμοίᾳ μοίρᾳ.	Θησεύς δέ κηρύσσω καί   ἐπί ἴσος καί ὅμοιος μοῖρα .
1284806	tlg1409.opp003.1st1K-grc1	οὗτος ἐλθὼν εἰς Σκῦτον ἐτελεύτησεν ὠσθεὶς κατὰ πετρῶν ὑπὸ Λυκομήδους, φοβηθέντος μὴ σφετερίσηται τὴν νῆσον.	οὗτος ἔρχομαι εἰς  τελευτάω ὠθέω κατά πέτρα ὑπό Λυκομήδης , φοβέω μή  ὁ νῆσος .
1284807	tlg1409.opp003.1st1K-grc1	Ἀθηναῖοι δὲ ὕστερον μετὰ τὰ Μηδικὰ μετεκόμισαν αὐτοῦ τὰ ὁστᾶ.	δέ ὕστερον μετά ὁ  μετακομίζω αὐτός ὁ  .
