id	filename	tokens	lemmas
1201591	tlg2200.tlg00408.opp-grc1	ΠΕΡΙ πενίας.	πενία .
1201592	tlg2200.tlg00408.opp-grc1	Πλούσιον ἄνθρωπον ἄνθρωποι νομίζουσί τε καὶ ὀνομάζουσιν, ὅτῳ πολὺς μὲν χρυσός, πολὺς δὲ ἄργυρος καὶ γῆ καὶ ἀνδράποδα καὶ οἰκία καὶ συνοικίαι καὶ νῆες καὶ βοσκήματα.	ἄνθρωπος ἄνθρωπος νομίζω τε καί ὀνομάζω , ὅστις πολύς μέν χρυσός , πολύς δέ ἄργυρος καί γῆ καί  καί οἰκίον καί συνοικία καί ναῦς καί βόσκημα .
1201593	tlg2200.tlg00408.opp-grc1	καὶ ὅτῳ γε μὴ πάντα ἔνι μὲν ταῦτα, ἒν δέ τι τούτων ὅτι πλεῖστον, καὶ τοῦτον οὕτω καλοῦσι, καὶ ἄλλον δὲ ἄλλου πλου- σιώτερον καὶ ἕτερον ἦττον ἑτέρου καὶ τὸν αὐτὸν δὲ ἑκάτερα πρός τε τὰ προστιθέμενα πρός τε τὰ ἀπογιγνόμενα.	καί ὅστις γε μή πᾶς ἐν μέν οὗτος ,  δέ τι οὗτος ὅτι2 πλεῖστος , καί οὗτος οὕτως καλέω , καί ἄλλος δέ ἄλλος  -  καί ἕτερος  ἕτερος καί ὁ αὐτός δέ ἑκάτερος πρός τε ὁ προστίθημι πρός τε ὁ ἀπογίγνομαι .
1201594	tlg2200.tlg00408.opp-grc1	καὶ χαίρει τε αὐτὸς αὐξομένων αὐτῷC= codex ChisianusA= Monacensis gr.	καί χαίρω τε αὐτός αὐξάνω αὐτός C =   A =   .
1201595	tlg2200.tlg00408.opp-grc1	483( Augustanus)P= Palatinus gr.	(  ) P =   .
1201596	tlg2200.tlg00408.opp-grc1	282U= Urbinas gr.	U =   .
1201597	tlg2200.tlg00408.opp-grc1	126I= Marcianus append.	I =   .
1201598	tlg2200.tlg00408.opp-grc1	XCI 2 Μο=Monacensis gr.	= Monacensis  .
1201599	tlg2200.tlg00408.opp-grc1	101 La=Laurentianus LVII 44B= Barberinus II 41 Va = Vaticanus gr.	= Laurentianus   B =        .
1201600	tlg2200.tlg00408.opp-grc1	113 τῶν ὄντων ἢ πάντων γε ἐφεξῆς ἢ μέρους ἑνός τινος ἔρχονταί τε συνησθησόμενοι καὶ συνεορτάσοντες, ὁπόσον ἔν τε | φίλοις καὶ γένει.	ὁ εἰμί ἤ πᾶς γε ἐφεξῆς τίη μέρος    τε  καί  , ὁπόσος ἐν τε  φίλος καί γένος .
1201601	tlg2200.tlg00408.opp-grc1	ἀφαιρουμένης δὲ τῆς Τύχης καὶ τὸν αὑτῆς ἱστὸν ἀναλυούσης πολλοὶ μὲν οἱ συναχθεσθησόμενοι, λύπη δὲ ἀντίπαλος τῇ πρόσθεν ἡδονῇ κατέχει μὲν αὐτὸν ἐκεῖνον, κατέχει δὲ οἰκείους τε καὶ ἐπιτηδείους, λόγος τε πολὺς ἐν ταῖς πόλεσι πρὸς ἔλαττον ἰέναι τῷ δεῖνι τὴν οὐσίαν νῦν μὲν οἰκετῶν πονηρίᾳ, νῦν δὲ κακούργων ἐπιβουλῇ, νῦν δὲ ἀρχόν- τῶν ψήφοις·	ἀφαιρέω δέ ὁ τύχη καί ὁ ἑαυτοῦ ἱστός  πολύς μέν ὁ  , λύπη δέ  ὁ πρόσθεν ἡδονή κατέχω μέν αὐτός ἐκεῖνος , κατέχω δέ οἰκεῖος τε καί ἐπιτήδειος , λόγος τε πολύς ἐν ὁ πόλις πρός  εἶμι τῷ δεῖνα ὁ οὐσία νῦν μέν οἰκέτης πονηρία , νῦν δέ  ἐπιβουλή , νῦν δέ ἀρχός - ὁ  ·
1201602	tlg2200.tlg00408.opp-grc1	ἐργάσαιτο δ’ ἄν τι καὶ ἐγγύη τοιοῦτον ὁλκάδες τε οὐκ εὐτυχῶς ἐπὶ κέρδη θαλάττια πλεύσασαι.	ἐργάζομαι  ἄν τι καί  τοιοῦτος ὁλκάς τε  εὐτυχής ἐπί κέρδος  πλέω .
1201603	tlg2200.tlg00408.opp-grc1	ἔν τε δὴ οὖν λουτροῖς ἔν τε ἐργαστηρίοις οἴκοι τε ἀνὴρ ἕκαστος πρὸς γυναῖκά τε καὶ τέκνα λέγει τι περὶ τῆς μεταβολῆς τὸ ἐν τῇ μεταβολῇ λογιζομένων τῶν ἀνθρώπων·	ἐν τε δή οὖν  ἐν τε ἐργαστήριον οἶκος τε ἀνήρ ἕκαστος πρός γυνή τε καί τέκνον λέγω τι περί ὁ μεταβολή ὁ ἐν ὁ μεταβολή  ὁ ἄνθρωπος ·
1201604	tlg2200.tlg00408.opp-grc1	οἷος ἀνθ’ οἵου γεγένηται·	οἷος  οἷος γίγνομαι ·
1201605	tlg2200.tlg00408.opp-grc1	μέγας, εἶτα μικρός·	μέγας , εἶτα μικρός ·
1201606	tlg2200.tlg00408.opp-grc1	| μακάριος, εἶτα ἄθλιος.	μακάριος , εἶτα ἄθλιος .
