id	filename	tokens	lemmas
1257724	tlg2255.perseus002.perseus-grc1	Ἡ μὲν κατηγορία καὶ ἡ ἀπολογία κρίσις οὐ περὶ θανάτου γίγνεται·	ὁ μέν κατηγορία καί ὁ ἀπολογία κρίσις οὐ περί θάνατος γίγνομαι ·
1257725	tlg2255.perseus002.perseus-grc1	θάνατον μὲν γὰρ ἡ φύσις φανερᾷ τῇ ψήφῳ πάντων κατεψηφίσατο τῶν θνητῶν, ᾗπερ ἡμέρᾳ τις ἐγένετο·	θάνατος μέν γάρ ὁ φύσις φανερός ὁ ψῆφος πᾶς καταψηφίζομαι ὁ θνητός ,  ἡμέρα τις γίγνομαι ·
1257726	tlg2255.perseus002.perseus-grc1	περὶ δὲ τῆς ἀτιμίας καὶ τῆς τιμῆς ὁ κίνδυνός ἐστι, πότερά με χρὴ.	περί δέ ὁ ἀτιμία καί ὁ τιμή ὁ κίνδυνος εἰμί , πότερος  χρή .
1257727	tlg2255.perseus002.perseus-grc1	.	.
1257728	tlg2255.perseus002.perseus-grc1	.	.
1257729	tlg2255.perseus002.perseus-grc1	δικαίως ἀποθανεῖν, ἢ μετ’ ὀνειδῶν μεγίστων καὶ τῆς αἰσχίστης αἰτίας βιαίως ἀποθανεῖν.	δίκαιος ἀποθνῄσκω , ἤ μετά ὄνειδος μέγας καί ὁ αἰσχρός αἰτία βίαιος ἀποθνῄσκω .
1257730	tlg2255.perseus002.perseus-grc1	δισσῶν δὲ τούτων ὄντων τοῦ μὲν ὑμεῖς ὅλου κρατεῖτε, τοῦ δ᾿ ἐγώ, τῆς μὲν δίκης ἐγώ, τῆς δὲ βίας ὑμεῖς.	δισσός δέ οὗτος εἰμί ὁ μέν   κρατέω , ὁ   , ὁ μέν δίκη  , ὁ δέ βία  .
1257731	tlg2255.perseus002.perseus-grc1	ἀποκτεῖναι μὲν γάρ με δυνήσεσθε βουλόμενοι ῥᾳδίως·	ἀποκτείνω μέν γάρ    ῥᾴδιος ·
1257732	tlg2255.perseus002.perseus-grc1	κρατεῖτε γὰρ καὶ τούτων, ὧν οὐδὲν ἐγὼ τυγχάνω κρατῶν.	κρατέω γάρ καί οὗτος , ὅς οὐδείς  τυγχάνω κρατέω .
1257733	tlg2255.perseus002.perseus-grc1	Εἰ μὲν οὖν ὁ κατήγορος Ὀδυσσεὺς ἢ σαφῶς ἐπιστάμενος προδιδόντα με τὴν Ἑλλάδα τοῖς βαρβάροις ἢ δοξάζων οὕτω ταῦτ᾿ ἔχειν ἐποιεῖτο τὴν κατηγορίαν δι’ εὔνοιαν τῆς Ἑλλάδος, ἄριστος ἂν ἦν ὁ ἀνήρ·	εἰ μέν οὖν ὁ κατήγορος Ὀδυσσεύς ἤ σαφής ἐφίστημι   ὁ Ἑλλάς ὁ  ἤ δοξάζω οὕτως  ἔχω ποιέω ὁ κατηγορία διά εὔνοια ὁ Ἑλλάς , ἄριστος ἐάν εἰμί ὁ ἀνήρ ·
1257734	tlg2255.perseus002.perseus-grc1	πῶς γὰρ οὐχ ὅ γε σῴζων πατρίδα, τοκέας, τὴν πᾶσαν Ἑλλάδα, ἔτι δὲ πρὸς τούτοις τὸν ἀδικοῦντα τιμωρούμενος;	πῶς γάρ οὐ ὁ γε σῴζω πατρίς ,  , ὁ πᾶς Ἑλλάς , ἔτι δέ πρός οὗτος ὁ ἀδικέω τιμωρέω ;
1257735	tlg2255.perseus002.perseus-grc1	εἰ δὲ φθόνῳ καὶ κακοτεχνίᾳ καὶ πανουργίᾳ συνέθηκε ταύτην τὴν αἰτίαν, ὥσπερ δι’ ἐκεῖνα κράτιστος ἂν ἦν ἀνήρ, οὕτω διὰ ταῦτα κάκιστος ἀνήρ.	εἰ δέ φθόνος καί κακοτεχνία καί πανουργία συντίθημι οὗτος ὁ αἰτία , ὥσπερ διά ἐκεῖνος κράτιστος ἄν εἰμί ἀνήρ , οὕτως διά οὗτος κακός ἀνήρ .
1257736	tlg2255.perseus002.perseus-grc1	Περὶ τούτων δὲ λέγων πόθεν ἄρξωμαι;	περί οὗτος δέ λέγω πόθεν ἄρχω ;
