id	filename	tokens	lemmas
948937	tlg4036.tlg023.cypria-grc1	Τοῦ αὐτοῦ περὶ τῶν Κυπρίων λεγομένων ποιημάτων⁑ Ἐπιβάλλει τούτοις τὰ λεγόμενα Κύπρια ἐν βιβλΐοις φερόμενα ἕνδεκα·	αὐτός περί ὁ Κύπριος λέγω ποίημα ⁑  οὗτος ὁ λέγω Κύπρια ἐν  φέρω ἕνδεκα ·
948938	tlg4036.tlg023.cypria-grc1	ὧν περὶ τῆς γραφῆς ὕστερον ἐροῦμεν·	περί ὁ γραφή ὕστερον ἐρέω ·
948939	tlg4036.tlg023.cypria-grc1	ἵ̈να μὴ τὸν ἑξῆς λόγον νῦν ἐμποδίζωμεν·	μή ὁ ἑξῆς λόγος νῦν  ·
948940	tlg4036.tlg023.cypria-grc1	τὰ δὲ περιέχοντά, ἐστὶ ταῦτα·	ὁ δέ περιέχω , εἰμί οὗτος ·
948941	tlg4036.tlg023.cypria-grc1	Ζεὺς βουλεύεται μετὰ τῆς Θέτιδος περὶ τοῦ Τρωϊκοῦ πολέμου·	Ζεύς βουλεύω μετά ὁ Θέτις περί ὁ  πόλεμος ·
948942	tlg4036.tlg023.cypria-grc1	παραγενομένη δὲ Ἔρις εὐωχουμένων τῶν θεῶν ἐν τοῖς Πηλέως γάμοις νεῖκος περὶ κάλλους ἐνίστησιν, Ἀθηνᾷ·	δέ ἔρις εὐωχέω ὁ θεός ἐν ὁ  γάμος νεῖκος περί κάλλος  , Ἀθήνη ·
948943	tlg4036.tlg023.cypria-grc1	Ἥρᾳ·	Ἥρα ·
948944	tlg4036.tlg023.cypria-grc1	καὶ Ἀφροδίτῃ·	καί Ἀφροδίτη ·
948945	tlg4036.tlg023.cypria-grc1	αἳ πρὸς Ἀλέξανδρον ἐν Ἴ̈δῃ κατὰ Διὸς προσταγὴν ὑφ' Ἑρμοῦ πρὸς τὴν κρίσιν ἄγονται·	ὁ πρός Ἀλέξανδρος ἐν  κατά Ζεύς προσταγή  Ἑρμῆς πρός ὁ κρίσις ἄγω ·
948946	tlg4036.tlg023.cypria-grc1	καὶ προκρίνει τὴν Ἀφροδίτην ἐπαρθεὶς τοῖς Ἑλένης γάμοις Ἀλέξανδρος·	καί προκρίνω ὁ Ἀφροδίτη ἐπαίρω ὁ Ἑλένη γάμος Ἀλέξανδρος ·
