id	filename	tokens	lemmas
1063873	tlg4102.tlgX02.opp-grc1	a ΚΕΦΑΛΑΙΑ ΤΗΣ ΙΩΑΝΝΟΥ ΤΟΥ ΘΕΟΛΟΓΟΥ ΑΠΟΚΑΛΓΨΕΩΣ.	.
1063874	tlg4102.tlgX02.opp-grc1	α.	.
1063875	tlg4102.tlgX02.opp-grc1	Προοίμιον Ἀποκαλύψεως, καὶ ὅτι δι’ Ἀγγέλου αὐτῷ διδοται.	, καί ὅτι2 διά  αὐτός  .
1063876	tlg4102.tlgX02.opp-grc1	β.	.
1063877	tlg4102.tlgX02.opp-grc1	Ὀπτασία ἐν ᾗ τὸν Ἰησοῦν ἐθεάσατο ἐν μέσῳ λυχνιῶν ἑπτάb.	ἐν ὅς ὁ Ἰησοῦς θεάομαι ἐν  λυχνία ἑπτά b .
1063878	tlg4102.tlgX02.opp-grc1	γ.	.
1063879	tlg4102.tlgX02.opp-grc1	Τὰ γεγραμμένα πρὸς τὸν τῆς Ἐφεσίων ἐκκλησίας Ἄγγελον.	πρός ὁ ὁ  ἐκκλησία  .
1063880	tlg4102.tlgX02.opp-grc1	δ.	.
1063881	tlg4102.tlgX02.opp-grc1	Τὰ δηλωθέντα τῷc ἐν τῇ Σμυρναίων ἐκκλησίᾳ Ἀγγέλῳ.	τῷ c ἐν ὁ  ἐκκλησία  .
1063882	tlg4102.tlgX02.opp-grc1	ε.	.
1063883	tlg4102.tlgX02.opp-grc1	Τὰ σημανθέντα τῷc τῆς Περγαμηνῶν ἐκκλησίας Ἀγγέλῳ.	τῷ c ὁ  ἐκκλησία  .
1063884	tlg4102.tlgX02.opp-grc1	ς.	.
1063885	tlg4102.tlgX02.opp-grc1	Τὰ γεγραμμένα τῶ̣ τῆς Θυατείρωνd ἐκκλησίας Ἀγγέλῳ.	γράφω  ὁ  d ἐκκλησία  .
1063886	tlg4102.tlgX02.opp-grc1	ζ.	.
1063887	tlg4102.tlgX02.opp-grc1	Τὰ ἀπεσταλμένα τυ Ἀγγέλῳ τῆς ἐν Σάρδεσιν ἐκκλησίαςe.	ἀποστέλλω   ὁ ἐν Σάρδεις ἐκκλησία e .
1063888	tlg4102.tlgX02.opp-grc1	η.	.
1063889	tlg4102.tlgX02.opp-grc1	Τὰ γραφέντα πρὸς τὸν τῆς Φιλαδελφέων ἐκκλησίας Ἄγγελον.	γράφω πρός ὁ ὁ Φιλαδελφεύς ἐκκλησία  .
1063890	tlg4102.tlgX02.opp-grc1	θ.	.
1063891	tlg4102.tlgX02.opp-grc1	Τὰ δηλωθέντα πρὸς τὸν τῆς Λαοδικέων ἐκκλησίας Ἄγγελον.	πρός ὁ ὁ Λαοδικεύς ἐκκλησία  .
1063892	tlg4102.tlgX02.opp-grc1	ι.	.
1063893	tlg4102.tlgX02.opp-grc1	Περὶ τῆς ὁραθείσης αὐτῷ θύρας ἐν τῷ οὐρανῷ, καὶ τοῦ θρόνου, κα τῶν κδ.	περί ὁ ὁράω αὐτός θύρα ἐν ὁ οὐρανός , καί ὁ θρόνος ,  ὁ  .
1063894	tlg4102.tlgX02.opp-grc1	πρεσβυτέρων, καὶ τῶν ἑξῆς δειχθέντων.	πρέσβυς , καί ὁ ἑξῆς δείκνυμι .
1063895	tlg4102.tlgX02.opp-grc1	ία.	κερατέα .
1063896	tlg4102.tlgX02.opp-grc1	Περὶ τῆς βίβλου τῆς ἐσφραγισμένης σφραγίσιν ἑπτὰ, τῆς ἐν τῇ χειρὶ τοῦ Θεοῦ, ἣν οὐδεὶς ἀνοίξαι δύναται τῆς κτιστῆς φύσεως.	περί ὁ βύβλος ὁ    , ὁ ἐν ὁ χείρ ὁ  , ὅς   δύναμαι ὁ  φύσις .
1063897	tlg4102.tlgX02.opp-grc1	ιβ.	.
1063898	tlg4102.tlgX02.opp-grc1	Περὶ τοῦ ἀρνίου τοῦ τὰ ἑπτὰ κέρατα ἔχοντος, ὅπως τὴν ἀνέῳξεν.	περί ὁ  ὁ ὁ  κέρας ἔχω , ὅπως ὁ ἀνοίγνυμι .
1063899	tlg4102.tlgX02.opp-grc1	ιγ.	.
1063900	tlg4102.tlgX02.opp-grc1	Λύσις τῆς πρώτης σφραγῖδοσ f τὴν ἀποστολικὴν διδαχὴν σημαίνουσα.	Λύσις ὁ πρῶτος   ὁ  διδαχή σημαίνω .
1063901	tlg4102.tlgX02.opp-grc1	ἰδ.	.
1063902	tlg4102.tlgX02.opp-grc1	Λύσις τῆς δευτέρας σφραγῖδος, δηλοῦσα τὸνg τῶν ἀπίστων κατὰ τῶν πιστῶν πόλεμον.	Λύσις ὁ δεύτερος σφραγίς , δηλόω ὁ g ὁ ἄπιστος κατά ὁ  πόλεμος .
1063903	tlg4102.tlgX02.opp-grc1	ιε.	.
1063904	tlg4102.tlgX02.opp-grc1	Λύσις τῆς τρίτης σφραγῖδος, δηλοῦσα τῶν μὴ πεπιστευχότων Χριστῷ τὴν ἔκπτωσιν.	Λύσις ὁ τρίτος σφραγίς ,  ὁ μή  Χριστός ὁ ἔκπτωσις .
1063905	tlg4102.tlgX02.opp-grc1	ις.	.
1063906	tlg4102.tlgX02.opp-grc1	Λύσις τῆς τετάρτης σφαγῖδος, ἐμφαίνουσα τὰς ἐπαγομένας παιδευτικὰς μάστιγας τοῖς δι’ ἀνυπομονησίας ἀρνησαμένοις τὸν Κύριον.	Λύσις ὁ τέταρτος  , ἐμφαίνω ὁ   μάστιξ ὁ διά   ὁ κύριος2 .
1063907	tlg4102.tlgX02.opp-grc1	ιζ.	.
1063908	tlg4102.tlgX02.opp-grc1	Λύσις τῆς πέμπτης σφραγῖδος, τὴν τῶν ἁγίων ψυχῶν σημαίνουσα πρὸς Κῦνον καταβόησιν ὥστε γενέσθαι·	Λύσις ὁ πέμπτος σφραγίς , ὁ ὁ ἅγιος  σημαίνω πρός Κῦνος  ὥστε γίγνομαι ·
1063909	tlg4102.tlgX02.opp-grc1	συντέλειαν.	συντέλεια .
1063910	tlg4102.tlgX02.opp-grc1	ιη.	.
1063911	tlg4102.tlgX02.opp-grc1	Λύσις τῆς ἕκτης σραγῖδος, τὰς ἐν τῇ συντελείᾳ ἐπαγομένας πληγὰς σημαίνουσα.	Λύσις ὁ ἕκτος  , ὁ ἐν ὁ συντέλεια  πληγή σημαίνω .
1063912	tlg4102.tlgX02.opp-grc1	ιθ.	.
1063913	tlg4102.tlgX02.opp-grc1	Περὶ τῶν σωζομένων ἐκ πληγῆς τῶν τεσσάρων Ἀγγέλων χιλιάδων ρμδ.	περί ὁ σῴζω ἐκ πληγή ὁ τέσσαρες  χιλιάς  .
1063914	tlg4102.tlgX02.opp-grc1	κ.	.
1063915	tlg4102.tlgX02.opp-grc1	Περὶ τοῦ ἀναριθμήτου ὄχλου τῶν ἐξ ἐθνῶν Χριστῷ συμβασιλευσαντων.	περί ὁ ἀναρίθμητος ὄχλος ὁ ἐκ ἔθνος Χριστός  .
1063916	tlg4102.tlgX02.opp-grc1	κα.	.
1063917	tlg4102.tlgX02.opp-grc1	Λύσις τῆς ἑβδόμης σφραγῖδος, δηλοῦσα ἀγγελικὰς δυνάμεις Θεῷ τὰς τῶν ἁγίων προσευχὰς ὡς θυμιάματα.	Λύσις ὁ ἕβδομος σφραγίς ,   δύναμις  ὁ ὁ ἅγιος προσευχή ὡς θυμίαμα .
1063918	tlg4102.tlgX02.opp-grc1	χβ.	.
1063919	tlg4102.tlgX02.opp-grc1	Περὶ τῶν ἑπτὰ Ἀγγέλων, ὧν τοῦ πρώτου σαλπίσαντος, καὶ πῦρ καὶ αἷμα ἐπὶ τῆς γῆς φέρεται.	περί ὁ   , ὅς ὁ πρῶτος  , καί πῦρ καί αἷμα ἐπί ὁ γῆ φέρω .
1063920	tlg4102.tlgX02.opp-grc1	κγ.	.
1063921	tlg4102.tlgX02.opp-grc1	Περὶ τοῦ δευτέρου Ἀγγέλου, οὐτ’ σαλπίσαντος, τῶν ἐν θαλάσσῃ ἐμψύχων ἀπώλεια γίνεται.	περί ὁ δεύτερος  ,   , ὁ ἐν θάλασσα  ἀπώλεια γίγνομαι .
1063922	tlg4102.tlgX02.opp-grc1	κδ.	.
1063923	tlg4102.tlgX02.opp-grc1	Ὁ τρίτος Ἄγγελος, τὰ τῶν ποταμῶν πικραίνει ὕδατα.	τρίτος Ἄγγελος , ὁ ὁ ποταμός πικραίνω ὕδωρ .
1063924	tlg4102.tlgX02.opp-grc1	κε.	ἄν .
1063925	tlg4102.tlgX02.opp-grc1	Ὁ τέταρτος Ἄγγελος τὸ τρίτον τοῦ ἡλιακοῦ καὶ σεληνιακοῦ φωτὸς σκοτίζει.	Ἄγγελος ὁ τρίτος ὁ ἡλιακός καί  φώς  .
1063926	tlg4102.tlgX02.opp-grc1	κς.	.
1063927	tlg4102.tlgX02.opp-grc1	Περὶ τοῦ πέμπτου Ἀγγέλου, καὶ τῶν ἐκ γῆςh ἀβύσσου ἀνερχομένων νοητῶν ἀκρίδων, καὶ τοῦ ποικίλου τῆς μορφῆς αὐτῶν.	περί ὁ πέμπτος  , καί ὁ ἐκ γῆ h ἄβυσσος   ἀκρίς , καί ὁ ποικίλος ὁ μορφή αὐτός .
1063928	tlg4102.tlgX02.opp-grc1	κζ.	.
1063929	tlg4102.tlgX02.opp-grc1	Περὶ τοῦ ἕκτου Ἀγγέλου, καὶ τῶν ἐπὶ τῷ Εὐφράτῃ λυομένων Ἀγγέλων ἐπίλυσις.	περί ὁ ἕκτος  , καί ὁ ἐπί τῷ Εὐφράτης λύω  ἐπίλυσις .
1063930	tlg4102.tlgX02.opp-grc1	κη.	.
1063931	tlg4102.tlgX02.opp-grc1	Περὶ Ἀγγέλου περιβεβλημένου νεφέλην καὶ ἶριν, καὶ τὸ κοινὸν τέλος προμηνύοντος.	περί   νεφέλη καί ἶρις , καί ὁ κοινός τέλος  .
1063932	tlg4102.tlgX02.opp-grc1	κθ.	.
1063933	tlg4102.tlgX02.opp-grc1	Ὅπως τὸ βιβλιδάριον ἐκ χειρὸς τοῦ Ἀγγέλου ὁ Εὐαγγελιστὴς εἴηφεν.	ὅπως ὁ  ἐκ χείρ ὁ  ὁ   .
1063934	tlg4102.tlgX02.opp-grc1	λ.	.
1063935	tlg4102.tlgX02.opp-grc1	Περὶ Ἐνὼχ καὶ Ἠλία διελέγχειν μελλόντων τὸν Ἀντίχριστον.	καί  διελέγχω μέλλω ὁ  .
1063936	tlg4102.tlgX02.opp-grc1	λα.	.
1063937	tlg4102.tlgX02.opp-grc1	Ὅπως ἀναιρεθέντες ὑπὸ τοῦ Ἀντιχρίστου ἀναστήσονται, καὶ τοὺς ἠπατημένους ἐκπλήξουσινk.	ὅπως ἀναιρέω ὑπό ὁ   , καί ὁ   k .
1063938	tlg4102.tlgX02.opp-grc1	λβ.	.
1063939	tlg4102.tlgX02.opp-grc1	Περὶ τῆς ἑβδόημςl σάλπιγγος, καὶ τῶν ὑμνούντων τῷ Θεῷm ἁγίων ἐπὶ τῇ μελλούσῃ κρίσει.	περί ὁ  l σάλπιγξ , καί ὁ ὑμνέω ὁ  m ἄγος ἐπί ὁ μέλλω κρίσις .
1063940	tlg4102.tlgX02.opp-grc1	λγ.	.
