id	filename	tokens	lemmas
1350097	tlg4170.tlg001b.1st1K-grc1	Πινδάρου γένος.	Πίνδαρος γένος .
1350098	tlg4170.tlg001b.1st1K-grc1	Πίνδαρος τὸ μὲν γένος Θηβαῖος, υἱὸς Δαϊφάντου κατὰ τοὺς ἀληθεστέρους·	Πίνδαρος ὁ μέν γένος Θηβαῖος , υἱός  κατά ὁ  ·
1350099	tlg4170.tlg001b.1st1K-grc1	οἱ δὲ Σκοπελίνου·	ὁ δέ  ·
1350100	tlg4170.tlg001b.1st1K-grc1	οἱ δὲ τὸν αὐτὸν Σκοπελίνου φασίν.	ὁ δέ ὁ αὐτός  φημί .
1350101	tlg4170.tlg001b.1st1K-grc1	οἱ δὲ Παγώνδα καὶ Μυρτοῦς, ἀπὸ κώμης Κυνοκεφάλων.	ὁ δέ  καί Μυρτώ , ἀπό κώμη  .
1350102	tlg4170.tlg001b.1st1K-grc1	ἡ δὲ Μυρτὼ ἐγαμήθη Σκοπελίνῳ τῷ αὐλητῇ, ὃς τὴν αὐλητικὴν διδάσκων τὸν Πίνδαρον, ἐπεὶ εἶδε μείζονος ἕξεως ὄντα, παρέδωκε Λάσῳ τῷ Ἑρμιονεῖ μελοποιῷ, παρ’ ᾧ τὴν λυρικὴν ἐπαιδεύθη.	ὁ δέ Μυρτώ γαμέω  ὁ αὐλητής , ὅς ὁ αὐλητικός διδάσκω ὁ Πίνδαρος , ἐπεί ὁράω μέγας ἕξις εἰμί , παραδίδωμι  ὁ   , παρά ὅς ὁ  παιδεύω .
1350103	tlg4170.tlg001b.1st1K-grc1	γέγονε δὲ κατὰ τοὺς χρόνους Αἰσχύλου, καὶ συγγεγένηται, καὶ τέθνηκεν ὅτε καὶ τὰ Περσικὰ ἤκμαζον.	γίγνομαι δέ κατά ὁ χρόνος Αἰσχύλος , καί  , καί ἀποθνῄσκω ὅτε καί ὁ  ἀκμάζω .
1350104	tlg4170.tlg001b.1st1K-grc1	ἔσχε δὲ θυγατέρας δύο, Εὔμητιν καὶ Πρωτομάχην.	ἔχω δέ θυγάτηρ γε ,  καί  .
1350105	tlg4170.tlg001b.1st1K-grc1	κατῴκει δὲ τὰς Θήβας, πλησίον τοῦ ἱεροῦ τῆς μητρὸς τῶν θεῶν τὴν οἰκίαν ἔχων.	κατοικέω δέ ὁ Θῆβαι , πλησίος ὁ ἱερόν ὁ μήτηρ ὁ θεός ὁ οἰκία ἔχω .
1350106	tlg4170.tlg001b.1st1K-grc1	ἐτίμα δὲ τὴν θεὸν σφόδρα, ὢν εὐσεβέστατος, καὶ τὸν Πᾶνα, καὶ τὸν Ἀπόλλωνα, εἰς ὃν καὶ πλεῖστα γέγραφε.	τιμάω δέ ὁ  σφόδρα , εἰμί εὐσεβής , καί ὁ Πάν , καί ὁ Ἀπόλλων , εἰς ὅς καί πλεῖστος γράφω .
