id	filename	tokens	lemmas
1128315	tlg4170.tlg001c.1st1K-grc1	Πινδάρου γένος δι’ ἐπῶν.	Πίνδαρος γένος διά ἔπος .
1128316	tlg4170.tlg001c.1st1K-grc1	Πίνδαρον ὑψαγόρην Καδμηίδος οὔδεϊ Θήβης Κλειδίκη εὐνηθεῖσα μενεπτολέμῳ Δαϊφάντῳ γείνατο ναιετάουσα Κυνὸς κεφαλῆς παρὰ χώρῳ, οὐκ οἶον·	Πίνδαρος   οὖδας Θῆβαι  εὐνάω   γείνομαι ναιετάω  κεφαλή παρά χῶρος , οὐ οἶος ·
1128317	tlg4170.tlg001c.1st1K-grc1	ἅμα τῷ καὶ Ἐρίτιμον εἰδότα θήρην, εἰδότα πυγμαχίην τε παλαισμοσύνην τ᾿ ἀλεγεινήν.	ἅμα τῷ καί  οἶδα θήρα , οἶδα πυγμαχία τε   ἀλεγεινός .
1128318	tlg4170.tlg001c.1st1K-grc1	τὸν μὲν ὅτε κνώσσοντα ποτὶ χθόνα κάτθετο μήτηρ εἰσέτι παιδνὸν ἐόντα, μέλισσά τις ὡς ἐπὶ σίμβλῳ χείλεσι νηπιάχοισι τιθαιβώσσουσα ποτᾶτο.	ὁ μέν ὅτε  πρός χθών  μήτηρ εἰσέτι παιδνός εἰμί ,  τις ὡς ἐπί  χεῖλος   ποτάομαι .
1128319	tlg4170.tlg001c.1st1K-grc1	τῷ δὲ λιγυφθόγγων ἐπέων μελέων θ᾿ ὑποθήμων ἔπλετο δῖα Κόριννα·	τῷ δέ  ἔπος μέλος   πέλω δῖος Κόριννα ·
1128320	tlg4170.tlg001c.1st1K-grc1	θεμείλια δ᾿ ὤπασε μύθων τὸ πρῶτον·	θέμεθλα  ὀπάζω μῦθος ὁ πρῶτος ·
1128321	tlg4170.tlg001c.1st1K-grc1	μετὰ τὴν δ᾿ Ἀγαθοκλέος ἔμμορεν αὐδῆς, ὅς τέ ῥά οἱ κατέδειξεν ὁδὸν καὶ μέτρον ἀοιδῆς.	μετά ὁ    αὐδή , ὅς τε ἄρα ἕ καταδείκνυμι ὁδός καί μέτρον ἀοιδή .
1128322	tlg4170.tlg001c.1st1K-grc1	εὖτε δ᾿ Ἀλεξάνδροιο Φιλιππιάδαο μενοινῇ Καδμείων ἀφίκοντο Μακηδόνες ἄστεα πέρσαι, Πινδαρέων μεγάρων οὐχ ἥψατο θεσπιδαὲς πῦρ.	εὖτε  Ἀλέξανδρος   Καδμεῖος ἀφικνέομαι  ἄστυ πέρθω ,  μέγαρον οὐ ἅπτω θεσπιδαής πῦρ .
1128323	tlg4170.tlg001c.1st1K-grc1	ἀλλὰ τὰ μὲν μετόπισθεν.	ἀλλά ὁ μέν μετόπισθε .
1128324	tlg4170.tlg001c.1st1K-grc1	ἔτι ζώοντι δ᾿ ἀοιδῷ Φοῖβος ἄναξ ἐκέλευσε πολυχρύσου παρὰ Πυθοῦς ἤια καὶ μέθυ λαρὸν ἀεὶ Θήβηνδε κομίζειν.	ἔτι ζήω  ἀοιδός Φοῖβος ἄναξ κελεύω πολύχρυσος παρά Πυθώ ἤϊα καί μέθυ λαρός ἀεί  κομίζω .
1128325	tlg4170.tlg001c.1st1K-grc1	καὶ μέλος, ὡς ἐνέπουσιν, ἐν οὔρεσιν ἠυκέρως Πάν Πινδάρου αἰὲν ἄειδε, καὶ οὐκ ἐμέγηρεν ἀείδων.	καί μέλος , ὡς ἐνέπω , ἐν ὄρος   Πίνδαρος ἀεί ἀείδω , καί οὐ μεγαίρω ἀείδω .
1128326	tlg4170.tlg001c.1st1K-grc1	ἦμος δ᾿ ἐν Μαραθῶνι καὶ ἐν Σαλαμῖνι παρέσταν αἰναρέται Πέρσαι μετὰ Δάτιδος ἀγριοφώνου, τῆμος ἔτι ζώεσκεν, ὅτ᾿ Αἰσχύλος ἦν ἐν Ἀθήναις.	ἦμος  ἐν Μαραθών καί ἐν Σαλαμίς παρίστημι  Πέρσης μετά Δᾶτις  , τῆμος ἔτι  ,  Αἰσχύλος εἰμί ἐν Ἀθήνη .
1128327	tlg4170.tlg001c.1st1K-grc1	τῷ δὲ Τιμοξείνη παρελέξατο δῖα γυναικῶν, ἥ τέκεν Εὔμητιν, μεγαλήτορα καὶ Δαΐφαντον, Πρωτομάχην δ᾿ ἐπὶ τοῖσιν.	τῷ δέ  παραλέγω δῖος γυνή , ὁ τίκτω  ,  καί  ,   ἐπί ὁ .
1128328	tlg4170.tlg001c.1st1K-grc1	ἔμελψε δὲ κῦδος ἀγώνων τῶν πισύρων, μακάρων παιήονας ἐνδεδεγμένους, καὶ μέλος ὀρχηθμοῖο, θεῶν τ᾿ ἐρικυδέας ὕμνους, ἠδὲ μελιφθόγγων μελεδήματα παρθενικάων.	δέ κῦδος ἀγών ὁ τέσσαρες , μάκαρ   , καί μέλος ὀρχηθμός , θεός   ὕμνος , ἠδέ  μελέδημα παρθενική .
1128329	tlg4170.tlg001c.1st1K-grc1	τοῖος ἐὼν καὶ τόσσα παθὼν καὶ τόσσα τελέσσας κάτθανεν ὀγδώκοντα τελειομένων ἐνιαυτῶν.	τοῖος εἰμί καί τόσος πάσχω καί τόσος τελέω καταθνῄσκω ὀγδοήκοντα  ἐνιαυτός .
