id	filename	tokens	lemmas
1200379	tlg4170.tlg001d.1st1K-grc1	Πένταθλον.	Πένταθλος .
1200380	tlg4170.tlg001d.1st1K-grc1	Ἅλμα ποδὸς δίσκου τε βολὴ καὶ ἄκοντος ἐρωή καὶ δρόμος ἠδὲ πάλη·	πούς δίσκος τε βολή καί  ἐρωή καί δρόμος ἠδέ  ·
1200381	tlg4170.tlg001d.1st1K-grc1	μία δ᾿ ἔπλετο πᾶσι τελευτή.	πέλω πᾶς τελευτή .
1200382	tlg4170.tlg001d.1st1K-grc1	Ἅλμα πάλη δίσκευμα κοντὸς καὶ δρόμος.	καί δρόμος .
1200383	tlg4170.tlg001d.1st1K-grc1	Εἰς τοὺς ἐννέα λυρικούς.	εἰς ὁ ἐννέα  .
1200384	tlg4170.tlg001d.1st1K-grc1	Ἐννέα τῶν πρώτων λυρικῶν πάτρην γενεήν τε μάνθανε, καὶ πατέρας καὶ διάλεκτον ἄθρει.	ὁ πρῶτος  πάτρα γενεά τε  , καί πατήρ καί διάλεκτος ἀθρέω .
1200385	tlg4170.tlg001d.1st1K-grc1	ὧν Μιτυληναῖος μὲν ἔην, γεραρώτερος ἄλλων Ἀλκαῖος πρότερος, ἠχικὸς Αἰολίδης.	ὅς Μιτυληναῖος μέν εἰμί , γεραρός ἄλλος Ἀλκαῖος πρότερος ,  Αἰολίδης .
1200386	tlg4170.tlg001d.1st1K-grc1	ἣ δ᾿ ἐπὶ τῷ, ξυνὴν πάτρην φωνήν τε δαεῖσα Σαπφὼ, Κληῖδος καὶ πατρὸς Εὐρυγύου.	ὁ  ἐπί τῷ ,  πάτρα φωνή τε  Σαπφώ ,  καί πατήρ  .
1200387	tlg4170.tlg001d.1st1K-grc1	Στησίχορος Σικελός·	Στησίχορος  ·
1200388	tlg4170.tlg001d.1st1K-grc1	πάτρη δέ οἱ Ἱμέρα ἐστίν·	πάτρα δέ ἕ Ἱμέρα εἰμί ·
1200389	tlg4170.tlg001d.1st1K-grc1	Εὐφήμου πατρὸς, Δωρικὸς ἁρμονίην.	Εὔφημος πατήρ ,  ἁρμονία .
1200390	tlg4170.tlg001d.1st1K-grc1	Ἴβυκος Ἰταλὸς ἐκ Ρηγίου ἠὲ Μεσήνης Ἠελίδα πατρὸς, Δωρίδα δ᾿ ἡρμόσατο.	Ἴβυκος  ἐκ  ἤ   πατήρ , Δωρίς  ἁρμόζω .
1200391	tlg4170.tlg001d.1st1K-grc1	Παρθενίου δὲ πατρὸς λιγυρὸς πάις ἠετιήου εἴδει μελπόμενος, Τήιος Ἀνακρέων.	δέ πατήρ  παῖς  εἶδος μέλπω , Τήϊος Ἀνακρέων .
1200392	tlg4170.tlg001d.1st1K-grc1	Πίνδαρος ἦν Θηβαῖος, ἀτὰρ πατρὸς Σκοπελίνου, Δώριον αἰνήσας ἁρμονίην ἐπέων.	Πίνδαρος εἰμί Θηβαῖος ,  πατήρ  ,   ἁρμονία ἔπος .
1200393	tlg4170.tlg001d.1st1K-grc1	ἠδὲ Σιμωνίδεω Κείου Δωριστὶ λαλοῦντος τὸν πατέρ᾿ αἰνήσας ἴσθι Λεωπρεπέα.	ἠδέ Σιμωνίδης Κεῖος  λαλέω ὁ   οἶδα  .
1200394	tlg4170.tlg001d.1st1K-grc1	ἶσα δαεὶς καὶ Κεῖος ἐὼν γενεῇ μελοποιὸς Μίλωνος πατέρος ἔπλετο Βακχυλίδης.	ἴσος δάω καί  εἰμί γενεά μελοποιός Μίλων πατήρ πέλω Βακχυλίδης .
1200395	tlg4170.tlg001d.1st1K-grc1	Ἀλκμὰν ἐν Λυδοῖσι μέγα πρέπει·	ἐν  μέγας πρέπω ·
1200396	tlg4170.tlg001d.1st1K-grc1	ἀλλὰ Δάμαντος ἐστὶ καὶ ἐκ Σπάρτης, Δωρίδος ἁρμονίης.	ἀλλά  εἰμί καί ἐκ Σπάρτη , Δωρίς ἁρμονία .
1200397	tlg4170.tlg001d.1st1K-grc1	Λυρικοὶ ποιηταὶ μουσικῶν ᾀσμάτων ἐννέα·	ποιητής μουσικός ἄεισμα ἐννέα ·
1200398	tlg4170.tlg001d.1st1K-grc1	ἐννέα δὲ καὶ αἱ καθ’ ἡμᾶς τῶν θείων ᾀσμάτων ὠδαί.	ἐννέα δέ καί ὁ κατά ἐγώ ὁ θεῖος ἄεισμα  .
1200399	tlg4170.tlg001d.1st1K-grc1	| τὰ δὲ ὀνόματα τῶν προειρημένων λυρικῶν εἰσὶ τάδε·	δέ ὄνομα ὁ προαγορεύω  εἰμί ὅδε ·
1200400	tlg4170.tlg001d.1st1K-grc1	Ἀλκμὰν Ἀλκαῖος Σαπφὼ Στησίχορος Ἴβυκος Ἀνακρέων Σιμωνίδης Βακχυλίδης καὶ Πίνδαρος.	Στησίχορος Ἴβυκος Ἀνακρέων Σιμωνίδης Βακχυλίδης καί Πίνδαρος .
1200401	tlg4170.tlg001d.1st1K-grc1	Ἐννέα δὲ οἱ λυρικοί·	δέ ὁ λυρικός ·
1200402	tlg4170.tlg001d.1st1K-grc1	Ἀλκαῖος Σαπφὼ Στησίχορος Ἴβυκος Βακχυλίδης Σιμωνίδης Ἀλκμὰν Ἀνακρέων καὶ Πίνδαρος.	Ἀλκαῖος  Στησίχορος Ἴβυκος Βακχυλίδης Σιμωνίδης Ἀλκμάν Ἀνακρέων καί Πίνδαρος .
