id	filename	tokens	lemmas
731560	tlg5034.tlg001a.perseus-grc1	Scholia in Olympionicarum carmen I.	.
731561	tlg5034.tlg001a.perseus-grc1	Πινδάρου ἐπίνικοι Ὀλυμπιονίκαις.	Πίνδαρος  Ὀλυμπιονίκη .
731562	tlg5034.tlg001a.perseus-grc1	Ἱέρωνι Συρακουσίῳ κέλητι.	Ἱέρων  κέλης .
731563	tlg5034.tlg001a.perseus-grc1	Τῶν ἐν τοῖς ἐπινίκοις τοῖς ὑπὸ Πινδάρου γεγραμμένοις εἰς τοὺς Ὀλυμπιονίκας πρώτη ᾠδὴ ἐπῳδική ἐστι τριαδικὴ περικοπῶν δ΄.	ὁ ἐν ὁ  ὁ ὑπό Πίνδαρος  εἰς ὁ Ὀλυμπιονίκης πρῶτος ᾠδή  εἰμί    .
731564	tlg5034.tlg001a.perseus-grc1	καὶ ἔστιν ἡ πρώτη στροφὴ καὶ ἀντίστροφος κώλων ιζ΄, ἡ δὲ ἐπωδὸς κώλων ιγ΄.	καί εἰμί ὁ πρῶτος  καί ἀντίστροφος κῶλον  , ὁ δέ  κῶλον  .
731565	tlg5034.tlg001a.perseus-grc1	τῆς στροφῆς καὶ ἀντιστρόφου τὸ α΄ Γλυκώνειον.	ὁ στροφή καί  ὁ   .
731566	tlg5034.tlg001a.perseus-grc1	τὸ Γλυκώνειον μέτρον, τὸ καὶ ἀντισπαστικὸν, ἐστὶ τετρασύλλαβον, συγκείμενον ἐκ βραχείας καὶ δύο μακρῶν καὶ βραχείας, οἷον Ἀρίσταρχος·	ὁ  μέτρον , ὁ καί  , εἰμί  ,  ἐκ βραχύς καί γε μακρός καί βραχύς , οἷος Ἀρίσταρχος ·
731567	tlg5034.tlg001a.perseus-grc1	ὠνόμασται δὲ διὰ τὸ οἷον ἀντεσπασμένον καὶ οἱονεὶ ἐναντίος διίαμβος εἶναι.	ὀνομάζω δέ διά ὁ οἷος  καί  ἐναντίος  εἰμί .
731568	tlg5034.tlg001a.perseus-grc1	τὸ β΄ Φερεκράτειον.	ὁ   .
731569	tlg5034.tlg001a.perseus-grc1	τὸ γ΄ ἰθυφαλλικὸν λελυμένου τοῦ α΄ τροχαίου.	ὁ    ὁ  τροχαῖος .
731570	tlg5034.tlg001a.perseus-grc1	τὸ δ΄ ἀναπαιστικὸν δίμετρον καταληκτικὸν εἰς συλλαβήν.	ὁ     εἰς συλλαβή .
731571	tlg5034.tlg001a.perseus-grc1	τὸ ε΄ Εὐριπίδειον, τροχαικὸν δίμετρον καταληκτικὸν, ὅμοιον τῷ( Phoen.	ὁ   ,    , ὅμοιος τῷ (  .
731572	tlg5034.tlg001a.perseus-grc1	239)·	) ·
731573	tlg5034.tlg001a.perseus-grc1	νῦν δέ μοι πρὸ τειχέων.	νῦν δέ  πρό τεῖχος .
731574	tlg5034.tlg001a.perseus-grc1	τὸ ς΄ Φερεκράτειον ὅμοιον τῷ β΄.	ὁ   ὅμοιος τῷ  .
731575	tlg5034.tlg001a.perseus-grc1	τὸ ζ΄ τροχαικὸν δίμετρον ὅμοιον τῷ ε΄.	ὁ    ὅμοιος τῷ  .
731576	tlg5034.tlg001a.perseus-grc1	τὸ η΄ Φερεκράτειον λεῖπον μιᾷ συλλαβῇ.	ὁ   λείπω  συλλαβή .
