id	filename	tokens	lemmas
990885	tlg5034.tlg001b.perseus-grc1	Ἀρχὴ Πυθίων.	ἀρχή  .
990886	tlg5034.tlg001b.perseus-grc1	Ὑπόθεσις Πυθίων.	.
990887	tlg5034.tlg001b.perseus-grc1	a.	.
990888	tlg5034.tlg001b.perseus-grc1	Ὁ τῶν Πυθίων ἀγὼν ἐτέθη μὲν πρότερος τῶν Ἰσθμίων πολλοῖς ἔτεσιν, ἡ δὲ αἰτία τοιαύτη μυθολογεῖται περὶ αὐτῶν.	ὁ  ἀγών τίθημι μέν πρότερος ὁ Ἴσθμιος πολύς ἔτος , ὁ δέ αἰτία τοιοῦτος μυθολογέω περί αὐτός .
990889	tlg5034.tlg001b.perseus-grc1	Λητὼ γὰρ ἡ Κοίου τοῦ Οὐρανοῦ καὶ Γῆς, καὶ Φοίβης τῆς Κρόνου, ᾗ Ζεὺς ἐμίγη ὄρτυγι εἰκασθείς, ἔγκυος γενομένη ὤδινεν ἐπὶ τοῦ Ζωστῆρος τῆς Ἀττικῆς·	Λητώ γάρ ὁ Κοῖος ὁ οὐρανός καί γῆ , καί Φοίβη ὁ Κρόνος , ὅς Ζεύς μείγνυμι ὄρτυξ εἰκάζω ,  γίγνομαι ὠδίνω ἐπί ὁ  ὁ  ·
990890	tlg5034.tlg001b.perseus-grc1	τίκτει τε Ἄρτεμιν καὶ Φοῖβον ἐν Δήλῳ τῇ πρότερον Ὀρτυγίᾳ καλουμένῃ.	τίκτω τε Ἄρτεμις καί Φοῖβος ἐν Δῆλος ὁ πρότερος Ὀρτυγία καλέω .
990891	tlg5034.tlg001b.perseus-grc1	καὶ Ἄρτεμις αὐξηθεῖσα ἦλθεν εἰς Κρήτην, καὶ τὸ Δικτύνιον ὄρος κατέσχεν·	καί Ἄρτεμις αὐξάνω ἔρχομαι εἰς Κρήτη , καί ὁ  ὄρος κατέχω ·
990892	tlg5034.tlg001b.perseus-grc1	Ἀπόλλων δὲ ἐν Λυκίᾳ·	Ἀπόλλων δέ ἐν Λύκιος ·
990893	tlg5034.tlg001b.perseus-grc1	τῇ δὲ μητρὶ τὴν Δῆλον ἀπένειμαν.	ὁ δέ μήτηρ ὁ Δῆλος ἀπονέμω .
990894	tlg5034.tlg001b.perseus-grc1	ἔρχεται τοίνυν εἰς Δελφοὺς Ἀπόλλων, Πύθωνι τὰς βοῦς νέμων.	ἔρχομαι τοίνυν εἰς Δελφοί Ἀπόλλων , Πύθων ὁ βοῦς νέμω .
990895	tlg5034.tlg001b.perseus-grc1	Ἑρμῆς δὲ χέλυν εὑρὼν τετράχορδον λίνα ἀντὶ χορδῶν ἐνημμένην, ἐπειδὴ οὔπω τῶν νεύρων ἡ χρῆσις εὕρητο, καὶ ἁλοὺς τὰς Ἀπόλλωνος βοῦς κλέπτων, ἀντὶ τῆς κλοπῆς τὴν χέλυν δίδωσι τῷ Ἀπόλλωνι, λαβὼν παρ’ αὐτοῦ τὸ κηρύκειον.	Ἑρμῆς δέ  εὑρίσκω   ἀντί   , ἐπεί οὔπω ὁ  ὁ χρῆσις εὑρίσκω , καί ἁλίσκομαι ὁ Ἀπόλλων βοῦς κλέπτω , ἀντί ὁ κλοπή ὁ χέλυς δίδωμι ὁ Ἀπόλλων , λαμβάνω παρά αὐτός ὁ κηρύκειον .
