id	filename	tokens	lemmas
1233251	tlg5034.tlg001c.perseus-grc1	Ὑπόθεσις Νεμέων.	Νέμεα .
1233252	tlg5034.tlg001c.perseus-grc1	ἀρχὴ Νεμέων·	ἀρχή  ·
1233253	tlg5034.tlg001c.perseus-grc1	ἐν τέλει τῶν Πυθίων.	ἐν τέλος ὁ  .
1233254	tlg5034.tlg001c.perseus-grc1	a.	.
1233255	tlg5034.tlg001c.perseus-grc1	Τὸν ἀγῶνα τῶν Νεμέων τινὲς μὲν ὑφ’ Ἡρακλέους τεθεῖσθαί φασιν ἐπὶ τῇ τοῦ λέοντος ἀναιρέσει, οἱ δὲ οὐχ οὕτως, ἀλλὰ καὶ ἱστορίαν τινὰ λέγουσιν ἐπ’ αὐτῷ ὡς ἀπὸ τοῦ Ὀφέλτου μὲν πρότερον, νυνὶ δὲ Ἀρχεμόρου, ἀπὸ τοῦ μαντεύσασθαι τοῖς ἐπὶ Θήβας στρατευσαμένοις διὰ τοῦ ἰδίου θανάτου.	ἀγών ὁ   μέν ὑπό   φημί ἐπί ὁ ὁ λέων  , ὁ δέ οὐ οὕτως , ἀλλά καί ἱστορία  λέγω ἐπί αὐτός ὡς ἀπό ὁ Ὀφέλτης μέν πρότερος , νυνί δέ Ἀρχέμορος , ἀπό ὁ μαντεύομαι ὁ ἐπί Θῆβαι  διά ὁ ἴδιος θάνατος .
1233256	tlg5034.tlg001c.perseus-grc1	ὁ δὲ ἀγὼν ἐπιτάφιος.	ὁ δέ ἀγών ἐπιτάφιος .
1233257	tlg5034.tlg001c.perseus-grc1	καὶ γὰρ οὕτως ἀπὸ τῶν Ὁμηρικῶν δεικνύουσιν, ἐξ ὧν οὐδένα νικήσαντα ὑπὲρ στεράνου εἰσάγει, οὐδὲ Νέστορα τὸν πολλὰς νίκας ἑαυτοῦ πολλάκις ἐξηγούμενον·	καί γάρ οὕτως ἀπό ὁ Ὁμηρικός δείκνυμι , ἐκ ὅς  νικάω ὑπέρ   , οὐδέ Νέστωρ ὁ πολύς νίκη ἑαυτοῦ πολλάκις  ·
1233258	tlg5034.tlg001c.perseus-grc1	καί φασιν οὐδὲ ὄνομα τοῦ στεφάνου εἰδέναι τὸν ποιητὴν, ἀποδεικνύντες ὡς οὐδαμοῦ παρὰ τῷ ποιητῇ εἴρηται·	καί φημί οὐδέ ὄνομα ὁ στέφανος οἶδα ὁ ποιητής , ἀποδείκνυμι ὡς οὐδαμοῦ παρά ὁ ποιητής λέγω ·
1233259	tlg5034.tlg001c.perseus-grc1	στεφάνας μὲν γὰρ λέγει, στεφάνους δὲ οὔ·	στεφάνη μέν γάρ λέγω ,  δέ οὐ ·
1233260	tlg5034.tlg001c.perseus-grc1	τῶν οἳ μὲν καλὰς στεφάνας εἶχον(Σ 597).	ὁ ὁ μέν καλός στεφάνη ἔχω ( Σ  ) .
1233261	tlg5034.tlg001c.perseus-grc1	b.	.
1233262	tlg5034.tlg001c.perseus-grc1	ἄλλως.	ἄλλος .
1233263	tlg5034.tlg001c.perseus-grc1	οἱ ἑπτὰ ἐπὶ Θήβας παραβαλόντες τῇ Νεμέᾳ διψήσαντες συνέτυχον ᾿Υψιπύλῃ τῇ Λημνίᾳ φερούσῃ τὸν Λυκούργου τοῦ τοῦ Διὸς ἱερέως καὶ Εὐρυδίκης παῖδα Ὀφέλτην·	ἕ ἑπτάς ἐπί Θῆβαι παραβάλλω ὁ Νεμέα  συντυγχάνω  ὁ  φέρω ὁ Λυκοῦργος ὁ ὁ Ζεύς ἱερεύς καί Εὐρυδίκη παῖς  ·
1233264	tlg5034.tlg001c.perseus-grc1	ἡ δὲ αὐτοῖς ἀφηγήσατο εἴς τινα πηγήν, καταλιποῦσα τὸν παῖδα ἔν τινι λειμῶνι·	ὁ δέ αὐτός ἀφηγέομαι εἰς  πηγή ,  ὁ παῖς ἐν  λειμών ·
1233265	tlg5034.tlg001c.perseus-grc1	ὃν δράκων περιειληθεὶς ἢ ἰὸν ἀφεὶς ἀνεῖλεν.	ὅς δράκων  τίη ἰός ἀφίημι ἀναιρέω .
1233266	tlg5034.tlg001c.perseus-grc1	οἱ δὲ ὑποστρέψαντες καὶ τὸ πάθος θεασάμενοι τόν τε δράκοντα ἀνεῖλον καὶ ἀγῶνα ἦγον ἐπιτάφιον τριετηρικόν·	ὁ δέ ὑποστρέφω καί ὁ πάθος θεάομαι ὁ τε δράκων ἀναιρέω καί ἀγών ἄγω ἐπιτάφιος  ·
1233267	tlg5034.tlg001c.perseus-grc1	ἠγωνίζοντο δὲ στρατιῶται καὶ παῖδες στρατιωτῶν·	ἀγωνίζομαι δέ στρατιώτης καί παῖς στρατιώτης ·
1233268	tlg5034.tlg001c.perseus-grc1	ὕστερον δὲ καὶ ἐπὶ τὸ δημοτικὸν πλῆθος ἔδραμεν·	ὕστερον δέ καί ἐπί ὁ δημοτικός πλῆθος τρέχω ·
1233269	tlg5034.tlg001c.perseus-grc1	ἦν δὲ γυμνικὸς καὶ ἅρμα, οὐχὶ δίφρος οὐδὲ κέλης.	εἰμί δέ γυμνικός καί ἅρμα , οὐ δίφρος οὐδέ  .
1233270	tlg5034.tlg001c.perseus-grc1	ἔτυχε δὲ οὕτως Ὑψιπύλη ἐν Νεμέᾳ·	τυγχάνω δέ οὕτως Ὑψιπύλη ἐν Νεμέα ·
1233271	tlg5034.tlg001c.perseus-grc1	ὡρισμένου παρὰ τῶν Λημνιάδων πᾶν τὸ ἄρσεν ἀναιρεθῆναι γένος, ἐκ πασῶν Ὑψιπύλη τὸν πατέρα Θόαντα ἐνείρξασα κιβωτῷ ἐφύλαττεν·	παρά ὁ  πᾶς ὁ ἄρσην ἀναιρέω γένος , ἐκ πᾶς Ὑψιπύλη ὁ πατήρ Θόας   φυλάσσω ·
1233272	tlg5034.tlg001c.perseus-grc1	ὕστερον δὲ μετὰ τὸ τοὺς Ἀργοναύτας ἐκπλεῦσαι φανεροῦ γενομένου ταῖς Λημνιάσι τοῦ κατὰ τὸν Θόαντα αὐτὸν μὲν κατεπόντωσαν ἐνείρξασαι τῇ κιβωτῷ, ἐψηφίσαντο δὲ καὶ κατὰ τῆς Ὑψιπύλης θάνατον·	ὕστερον δέ μετά ὁ ὁ Ἀργοναύτης ἐκπλέω φανερός γίγνομαι ὁ  ὁ κατά ὁ Θόας αὐτός μέν καταποντόω  ὁ  , ψηφίζω δέ καί κατά ὁ Ὑψιπύλη θάνατος ·
1233273	tlg5034.tlg001c.perseus-grc1	ἡ δὲ μαθοῦσα φεύγει.	ὁ δέ μανθάνω φεύγω .
1233274	tlg5034.tlg001c.perseus-grc1	ἐν τοσούτῳ δὲ λῃσταῖς περιτυχοῦσα πιπράσκεται Λυκούργῳ.	ἐν τοσοῦτος δέ λῃστής  πιπράσκω Λυκοῦργος .
1233275	tlg5034.tlg001c.perseus-grc1	κατ’ ἐκεῖνον δὲ τὸν καιρὸν κατὰ ζήτησιν οἱ ταύτης παῖδες Θόας καὶ Εὔνεως παρέβαλον ἐν Νεμέᾳ, Εὐρυδίκης δὲ τῆς Λυκούργου γυναικὸς βουλομένης διὰ τὸν Ὀφέλτου θάνατον ἀνελεῖν τὴν Ὑψιπύλην, διὰ τοῦτό τε ἔν τινι τόπῳ λαθραίῳ κατακλεισάσης, Ἀμφιάραος μαντευσάμενος δείκνυσι τοῖς παισὶ τὴν Ὑψιπύλην·	κατά ἐκεῖνος δέ ὁ καιρός κατά ζήτησις ὁ οὗτος παῖς Θόη καί  παραβάλλω ἐν Νεμέα , Εὐρυδίκη δέ ὁ Λυκοῦργος γυνή  διά ὁ Ὀφέλτης θάνατος ἀναιρέω ὁ Ὑψιπύλη , διά οὗτος τε ἐν  τόπος   , Ἀμφιάραος  δείκνυμι ὁ  ὁ Ὑψιπύλη ·
1233276	tlg5034.tlg001c.perseus-grc1	ἡ δὲ τοῦτο εὐτυχήσασα παρεκάλει τοὺς ἥρωας τοῖς παισὶ συναγωνίσασθαι.	ὁ δέ οὗτος  παρακαλέω ὁ ἥρως ὁ  συναγωνίζομαι .
1233277	tlg5034.tlg001c.perseus-grc1	c.	.
1233278	tlg5034.tlg001c.perseus-grc1	ἄλλως.	ἄλλος .
1233279	tlg5034.tlg001c.perseus-grc1	τὰ Νέμεά φασιν ἄγεσθαι ἐπὶ Ὀφέλτῃ τῷ Εὐφήτου καὶ Κρεούσης παιδὶ, ὃν Εὐφήτην ἐκάλεσαν οἱ Ἀργεῖοι τελευτήσαντα ὑπὸ τὸν Θηβαϊκὸν πόλεμον.	ὁ Νέμειος φημί ἄγω ἐπί  τῷ  καί   , ὅς  καλέω ὁ  τελευτάω ὑπό ὁ  πόλεμος .
1233280	tlg5034.tlg001c.perseus-grc1	τοῦτον δὲ ἔτυχε τροφεύουσα Ὑψιπύλη, ἣν ᾔτησαν οἱ Ἀργεῖοι ὕδωρ·	οὗτος δέ τυγχάνω  Ὑψιπύλη , ὅς αἰτέω ὁ  ὕδωρ ·
