id	filename	tokens	lemmas
36321	tlg5034.tlg001d.perseus-grc1	Ὑπόθεσις Ἰσθμίων.	Ἴσθμιος .
36322	tlg5034.tlg001d.perseus-grc1	a.	.
36323	tlg5034.tlg001d.perseus-grc1	Ἐτελοῦντο μὲν οἱ παλαιοὶ πάντες ἀγῶνες ἐπί τισι τετελευτηκόσιν.	μέν ὁ παλαιός πᾶς ἀγών ἐπί  τελευτάω .
36324	tlg5034.tlg001d.perseus-grc1	ἐτελεῖτο γὰρ ὁ μὲν Ὀλυμπικὸς τῷ Διΐ διὰ τὸν Πέλοπα, ὁ δὲ Πυθικὸς τῷ Ἀπόλλωνι διὰ τὸν δράκοντα, ὃν ἀπέκτεινεν ἐν Πυθοῖ, ὁ δὲ Ἰσθμικὸς τῷ Ποσειδῶνι.	τελέω γάρ ὁ μέν Ὀλυμπικός ὁ Ζεύς διά ὁ Πέλοψ , ὁ δέ Πυθικός ὁ Ἀπόλλων διά ὁ δράκων , ὅς ἀποκτείνω ἐν Πυθώ , ὁ δέ Ἰσθμικός ὁ Ποσειδῶν .
36325	tlg5034.tlg001d.perseus-grc1	ἔστι δὲ ἡ ἱστορία αὕτη.	εἰμί δέ ὁ ἱστορία οὗτος .
36326	tlg5034.tlg001d.perseus-grc1	Ἰνοῦς καὶ Ἀθάμαντος παῖδες Λέαρχος καὶ Μελικέρτης·	Ἰνώ καί Ἀθάμας παῖς Λέαρχος καί Μελικέρτης ·
36327	tlg5034.tlg001d.perseus-grc1	τὸν μὲν δὴ Λέαρχον μανεὶς ὁ Ἀθάμας ἀπέκτεινεν, εἶτα ἡ μήτηρ αὐτοῦ καθῆκεν αὐτὸν εἰς λέβητα ὕδατος ζεστοῦ, μανεῖσα δὲ καὶ αὐτὴ τὸ τελευταῖον ἥλατο μετὰ τοῦ Μελικέρτου εἰς θάλασσαν, καὶ ἐγένετο μὲν ἡ Ἰνὼ μία τῶν Νηρεΐδων, ἧς καὶ ὁ ποιητὴς μέμνηται( ε 433)·	ὁ μέν δή Λέαρχος μαίνομαι ὁ Ἀθάμας ἀποκτείνω , εἶτα ὁ μήτηρ αὐτός καθίημι αὐτός εἰς λέβης ὕδωρ  ,  δέ καί αὐτός ὁ τελευταῖος ἅλλομαι μετά ὁ Μελικέρτης εἰς θάλασσα , καί γίγνομαι μέν ὁ Ἰνώ  ὁ Νηρηΐς , ὅς καί ὁ ποιητής μιμνήσκω (   ) ·
36328	tlg5034.tlg001d.perseus-grc1	ἔστι δὲ αὕτη Λευκοθέα·	εἰμί δέ οὗτος Λευκοθέα ·
36329	tlg5034.tlg001d.perseus-grc1	ὁ δὲ Μελικέρτης μετεβλήθη εἰς δαίμονα·	ὁ δέ Μελικέρτης μεταβάλλω εἰς δαίμων ·
36330	tlg5034.tlg001d.perseus-grc1	ἔστι δὲ οὗτος Παλαίμων.	εἰμί δέ οὗτος Παλαίμων .
36331	tlg5034.tlg001d.perseus-grc1	χορεύουσαι τοίνυν ποτὲ αἱ Νηρεΐδες ἐπεφάνησαν τῷ Σισύφῳ καὶ ἐκέλευσαν εἰς τιμὴν τοῦ Μελικέρτου ἄγειν τὰ Ἴσθμια.	τοίνυν ποτε ὁ   τῷ Σίσυφος καί κελεύω εἰς τιμή ὁ Μελικέρτης ἄγω ὁ Ἴσθμιος .
36332	tlg5034.tlg001d.perseus-grc1	b.	.
36333	tlg5034.tlg001d.perseus-grc1	ἄλλως.	ἄλλος .
36334	tlg5034.tlg001d.perseus-grc1	τὸν τῶν Ἰσθμίων ἀγῶνα οἱ μὲν ἐπὶ Σίνιδι τῷ Προκρούστῃ διαθεῖναί φασι τὸν Θησέα ἀνελόντα αὐτὸν, ὅτε περ καὶ τοὺς ἄλλους, ὥς φησι Σοφοκλῆς( fr.	ὁ ὁ Ἴσθμιος ἀγών ὁ μέν ἐπί  ὁ  διατίθημι φημί ὁ Θησεύς ἀναιρέω αὐτός , ὅτε  καί ὁ ἄλλος , ὡς φημί Σοφοκλέης (  .
36335	tlg5034.tlg001d.perseus-grc1	819) λέγων περὶ αὐτοῦ·	) λέγω περί αὐτός ·
36336	tlg5034.tlg001d.perseus-grc1	ὃς παρακτίαν στείχων ἀνημέρωσα κνωδάλων ὁδόν.	ὅς  στείχω  κνώδαλον ὁδός .
